"Noch: 2. Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im September 2013 in Beherbergungsbetrieben
(einschl. Camping) 
2.4 nach Kreisen und nach dem ständigen Wohnsitz der Gäste",,,,,,,,,,
Deutschland,49 923,"- 0,9",193 787," 0,0"," 3,9",390 720,"- 0,9",1605 976," 0,1"," 4,1"
Ausland,2 865," 18,6",6 395," 17,3"," 2,2",24 735,"- 4,7",64 814," 5,8"," 2,6"
,,,,,,,,,,
Vorpommern-Greifswald,126 179,"- 6,6", 599 194,"- 3,4"," 4,7",1 034 815,"- 0,5",4 828 759,"- 0,1"," 4,7"
Deutschland,123 106,"- 6,5", 588 913,"- 3,3"," 4,8",1 007 749,"- 0,5",4 737 444," 0,0"," 4,7"
Ausland,3 073,"- 13,3",10 281,"- 11,4"," 3,3",27 066,"- 0,5",91 315,"- 0,5"," 3,4"
,,,,,,,,,,
Ludwigslust-Parchim,37 759,"- 1,3",114 674," 0,6"," 3,0",290 438," 0,7",952 371," 1,1"," 3,3"
Deutschland,33 519,"- 4,7",105 755,"- 0,2"," 3,2",270 064," 0,0",893 502," 0,6"," 3,3"
Ausland,4 240," 36,8",8 919," 10,6"," 2,1",20 374," 11,6",58 869," 9,6"," 2,9"
,,,,,,,,,,
Nachrichtlich,,,,,,,,,,
,,,,,,,,,,
"Greifswald, Hansestadt 2)",9 309,"- 4,4",22 734,"- 6,0"," 2,4",69 949,"- 0,4", 164 666," 1,6"," 2,4"
Deutschland,8 535,"- 3,5",21 050,"- 3,5"," 2,5",64 651," 0,3", 150 449," 2,1"," 2,3"
Ausland, 774,"- 12,8",1 684,"- 29,1"," 2,2",5 298,"- 7,3",14 217,"- 4,0"," 2,7"
,,,,,,,,,,
"Neubrandenburg, Stadt 3)",7 113,"- 10,0", 12 882,"- 8,1"," 1,8", 55 600,"- 0,5", 95 197,"- 0,1"," 1,7"
Deutschland,6 597,"- 11,4", 12 045,"- 10,3"," 1,8", 51 457," 1,7", 88 405," 0,9"," 1,7"
Ausland, 516," 11,9", 837," 39,0"," 1,6",4 143,"- 21,7",6 792,"- 12,1"," 1,6"
,,,,,,,,,,
"Stralsund, Hansestadt 4)",21 023," 1,0", 51 030," 2,5"," 2,4", 154 457,"- 3,7", 358 518,"- 1,1"," 2,3"
Deutschland,18 665,"- 0,6", 45 240," 0,4"," 2,4", 135 537,"- 4,5", 314 192,"- 1,8"," 2,3"
Ausland,2 358," 15,6",5 790," 22,6"," 2,5",18 920," 2,7",44 326," 4,4"," 2,3"
,,,,,,,,,,
"Wismar, Hansestadt 5)",11 852,"- 3,2", 28 969," 2,5"," 2,4", 90 773," 1,4", 225 517," 4,2"," 2,5"
Deutschland,10 164,"- 7,2", 26 067,"- 0,1"," 2,6", 78 550," 2,9", 202 859," 5,2"," 2,6"
Ausland,1 688," 30,9",2 902," 32,8"," 1,7",12 223,"- 7,1",22 658,"- 3,8"," 1,9"
______,,,,,,,,,,
1) Rechnerischer Wert (Übernachtungen/Ankünfte),,,,,,,,,,
2) zu Vorpommern-Greifswald,,,,,,,,,,
3) zu Mecklenburgische Seenplatte,,,,,,,,,,
4) zu Vorpommern-Rügen,,,,,,,,,,
5) zu Nordwestmecklenburg,,,,,,,,,,
