"Noch: 2. Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im Januar 2013 in Beherbergungsbetrieben
(einschl. Camping) Mecklenburg-Vorpommerns 
2.4 nach Kreisen und dem ständigen Wohnsitz der Gäste",,
"Noch: 2. Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im Februar 2013 in Beherbergungsbetrieben
(einschl. Camping) Mecklenburg-Vorpommerns 
2.4 nach Kreisen und dem ständigen Wohnsitz der Gäste",,
,,
"Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt
______
Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",Februar 2013,
,Ankünfte,Übernachtungen
,"insge-
samt","insge-
samt"
,,
,,
,,
,,
,,
,Anzahl,Anzahl
,,
Mecklenburg-Vorpommern, 285 899, 997 188
Deutschland, 275 886, 967 045
Ausland,10 013, 30 143
,,
"Rostock, Hansestadt",36 734,87 789
Deutschland,34 286,79 308
Ausland,2 448,8 481
,,
"Schwerin, Landeshauptstadt",8 627,14 217
Deutschland,8 216,13 517
Ausland,411,700
,,
Mecklenburgische,,
Seenplatte,28 309, 94 363
Deutschland,27 534, 92 499
Ausland,775,1 864
,,
Landkreis Rostock,51 323,198 426
Deutschland,48 554,189 468
Ausland,2 769,8 958
,,
Vorpommern-Rügen,72 992,282 269
Deutschland,71 519,278 263
Ausland,1 473,4 006
,,
Nordwestmecklenburg,18 722,70 750
Deutschland,18 100,68 838
Ausland,622,1 912
,,
Vorpommern-Greifswald,53 242, 200 041
Deutschland,52 699, 197 992
Ausland,543,2 049
,,
Ludwigslust-Parchim,15 950,49 333
Deutschland,14 978,47 160
Ausland,972,2 173
,,
Nachrichtlich,,
,,
"Greifswald, Hansestadt 2)",3 733,7 979
Deutschland,3 495,7 080
Ausland,238,899
,,
"Neubrandenburg, Stadt 3)",3 987, 5 514
Deutschland,3 712, 5 200
Ausland,275,314
,,
"Stralsund, Hansestadt 4)",8 884, 19 373
Deutschland,8 546, 18 568
Ausland,338,805
,,
"Wismar, Hansestadt 5)",4 789, 14 207
Deutschland,4 406, 13 273
Ausland,383,934
______,,
1) Rechnerischer Wert (Übernachtungen/Ankünfte),,
2) zu Vorpommern-Greifswald,,
3) zu Mecklenburgische Seenplatte,,
4) zu Vorpommern-Rügen,,
5) zu Nordwestmecklenburg,,
"Noch: 2. Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im März 2013 in Beherbergungsbetrieben
(einschl. Camping) Mecklenburg-Vorpommerns 
2.4 nach Kreisen und dem ständigen Wohnsitz der Gäste",,
,,
"Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt
______
Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",März 2013,
,Ankünfte,Übernachtungen
,"insge-
samt","insge-
samt"
,,
,,
,,
,,
,,
,Anzahl,Anzahl
,,
Mecklenburg-Vorpommern, 436 807,1 521 413
Deutschland, 423 236,1 488 075
Ausland,13 571, 33 338
,,
"Rostock, Hansestadt",51 658,121 490
Deutschland,47 604,112 377
Ausland,4 054,9 113
,,
"Schwerin, Landeshauptstadt",11 482,19 226
Deutschland,10 821,18 132
Ausland,661,1 094
,,
Mecklenburgische,,
Seenplatte,46 611, 141 915
Deutschland,45 595, 139 906
Ausland,1 016,2 009
,,
Landkreis Rostock,72 763,284 654
Deutschland,70 683,279 167
Ausland,2 080,5 487
,,
Vorpommern-Rügen,122 967,474 686
Deutschland,120 477,468 321
Ausland,2 490,6 365
,,
Nordwestmecklenburg,31 200,119 705
Deutschland,30 184,116 883
Ausland,1 016,2 822
,,
Vorpommern-Greifswald,77 792, 293 807
Deutschland,76 743, 290 242
Ausland,1 049,3 565
,,
Ludwigslust-Parchim,22 334,65 930
Deutschland,21 129,63 047
Ausland,1 205,2 883
,,
Nachrichtlich,,
,,
"Greifswald, Hansestadt 2)",5 787,13 448
Deutschland,5 358,11 850
Ausland,429,1 598
,,
"Neubrandenburg, Stadt 3)",5 110, 7 825
Deutschland,4 703, 7 245
Ausland,407,580
,,
"Stralsund, Hansestadt 4)",12 638, 28 972
Deutschland,12 059, 27 495
Ausland,579,1 477
,,
"Wismar, Hansestadt 5)",6 664, 19 131
Deutschland,6 157, 17 866
Ausland,507,1 265
______,,
1) Rechnerischer Wert (Übernachtungen/Ankünfte),,
2) zu Vorpommern-Greifswald,,
3) zu Mecklenburgische Seenplatte,,
4) zu Vorpommern-Rügen,,
5) zu Nordwestmecklenburg,,
"Noch: 2. Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im April 2013 in Beherbergungsbetrieben
(einschl. Camping) Mecklenburg-Vorpommerns 
 2.4 nach Kreisen und nach dem ständigen Wohnsitz der Gäste",,
,,
"Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt
______
Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",April 2013,
,Ankünfte,Übernachtungen
,"insge-
samt","insge-
samt"
,,
,,
,,
,,
,,
,Anzahl,Anzahl
,,
Mecklenburg-Vorpommern, 429 214,1 505 542
Deutschland, 411 392,1 461 824
Ausland,17 822, 43 718
,,
"Rostock, Hansestadt",47 093,110 664
Deutschland,42 643,101 521
Ausland,4 450,9 143
,,
"Schwerin, Landeshauptstadt",14 444,24 245
Deutschland,13 408,22 488
Ausland,1 036,1 757
,,
Mecklenburgische,,
Seenplatte,50 557, 153 521
Deutschland,49 331, 150 705
Ausland,1 226,2 816
,,
Landkreis Rostock,68 351,271 883
Deutschland,66 116,266 078
Ausland,2 235,5 805
,,
Vorpommern-Rügen,114 877,449 009
Deutschland,110 371,437 166
Ausland,4 506,11 843
,,
Nordwestmecklenburg,32 971,120 694
Deutschland,31 337,116 293
Ausland,1 634,4 401
,,
Vorpommern-Greifswald,76 573, 303 254
Deutschland,75 088, 298 321
Ausland,1 485,4 933
,,
Ludwigslust-Parchim,24 348,72 272
Deutschland,23 098,69 252
Ausland,1 250,3 020
,,
Nachrichtlich,,
,,
"Greifswald, Hansestadt 2)",6 089,13 573
Deutschland,5 585,11 889
Ausland,504,1 684
,,
"Neubrandenburg, Stadt 3)",5 439, 8 064
Deutschland,5 201, 7 739
Ausland,238,325
,,
"Stralsund, Hansestadt 4)",12 175, 26 362
Deutschland,11 013, 23 509
Ausland,1 162,2 853
,,
"Wismar, Hansestadt 5)",8 515, 20 727
Deutschland,7 585, 18 785
Ausland,930,1 942
______,,
1) Rechnerischer Wert (Übernachtungen/Ankünfte),,
2) zu Vorpommern-Greifswald,,
3) zu Mecklenburgische Seenplatte,,
4) zu Vorpommern-Rügen,,
5) zu Nordwestmecklenburg,,
"Noch: 2. Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im Mai 2013 in Beherbergungsbetrieben
(einschl. Camping) Mecklenburg-Vorpommerns 
 2.4 nach Kreisen und nach dem ständigen Wohnsitz der Gäste",,
,,
"Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt
______
Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",Mai 2013,
,Ankünfte,Übernachtungen
,"insge-
samt","insge-
samt"
,,
,,
,,
,,
,,
,Anzahl,Anzahl
,,
Mecklenburg-Vorpommern, 754 975,2 746 134
Deutschland, 721 643,2 656 818
Ausland,33 332, 89 316
,,
"Rostock, Hansestadt",69 055,180 512
Deutschland,62 311,165 462
Ausland,6 744,15 050
,,
"Schwerin, Landeshauptstadt",21 422,40 239
Deutschland,19 453,36 456
Ausland,1 969,3 783
,,
Mecklenburgische,,
Seenplatte,125 598, 384 738
Deutschland,122 990, 377 682
Ausland,2 608,7 056
,,
Landkreis Rostock,109 407,444 829
Deutschland,106 110,435 334
Ausland,3 297,9 495
,,
Vorpommern-Rügen,200 576,831 908
Deutschland,189 866,800 152
Ausland,10 710,31 756
,,
Nordwestmecklenburg,56 040,201 587
Deutschland,53 119,194 065
Ausland,2 921,7 522
,,
Vorpommern-Greifswald,131 970, 538 660
Deutschland,129 242, 530 157
Ausland,2 728,8 503
,,
Ludwigslust-Parchim,40 907,123 661
Deutschland,38 552,117 510
Ausland,2 355,6 151
,,
Nachrichtlich,,
,,
"Greifswald, Hansestadt 2)",9 509,21 655
Deutschland,8 851,19 785
Ausland,658,1 870
,,
"Neubrandenburg, Stadt 3)",6 585, 11 466
Deutschland,6 199, 10 708
Ausland,386,758
,,
"Stralsund, Hansestadt 4)",18 036, 43 704
Deutschland,15 617, 37 553
Ausland,2 419,6 151
,,
"Wismar, Hansestadt 5)",12 390, 29 310
Deutschland,10 906, 26 658
Ausland,1 484,2 652
______,,
1) Rechnerischer Wert (Übernachtungen/Ankünfte),,
2) zu Vorpommern-Greifswald,,
3) zu Mecklenburgische Seenplatte,,
4) zu Vorpommern-Rügen,,
5) zu Nordwestmecklenburg,,
"Noch: 2. Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im Juni 2013 in Beherbergungsbetrieben",,
(einschl. Camping) ,,
 2.4 nach Kreisen und nach dem ständigen Wohnsitz der Gäste,,
,,
"Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt
______
Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",Juni 2013,
,Ankünfte,Übernachtungen
,"insge-
samt","insge-
samt"
,,
,,
,,
,,
,,
,Anzahl,Anzahl
,,
Mecklenburg-Vorpommern, 782 584,3 094 605
Deutschland, 741 747,2 975 418
Ausland,40 837, 119 187
,,
"Rostock, Hansestadt",71 211,206 821
Deutschland,64 721,190 102
Ausland,6 490,16 719
,,
"Schwerin, Landeshauptstadt",21 524,38 727
Deutschland,19 776,35 541
Ausland,1 748,3 186
,,
Mecklenburgische,,
Seenplatte,120 481, 383 021
Deutschland,116 384, 372 014
Ausland,4 097,11 007
,,
Landkreis Rostock,114 751,505 579
Deutschland,111 002,495 068
Ausland,3 749,10 511
,,
Vorpommern-Rügen,217 068,963 922
Deutschland,202 935,920 251
Ausland,14 133,43 671
,,
Nordwestmecklenburg,54 517,211 871
Deutschland,51 048,201 623
Ausland,3 469,10 248
,,
Vorpommern-Greifswald,143 749, 659 102
Deutschland,139 318, 644 856
Ausland,4 431,14 246
,,
Ludwigslust-Parchim,39 283,125 562
Deutschland,36 563,115 963
Ausland,2 720,9 599
,,
Nachrichtlich,,
,,
"Greifswald, Hansestadt 2)",10 247,24 161
Deutschland,9 509,22 399
Ausland,738,1 762
,,
"Neubrandenburg, Stadt 3)",8 125, 14 492
Deutschland,7 376, 13 218
Ausland,749,1 274
,,
"Stralsund, Hansestadt 4)",20 480, 46 738
Deutschland,17 733, 40 491
Ausland,2 747,6 247
,,
"Wismar, Hansestadt 5)",11 654, 28 272
Deutschland,10 157, 25 584
Ausland,1 497,2 688
______,,
1) Rechnerischer Wert (Übernachtungen/Ankünfte),,
2) zu Vorpommern-Greifswald,,
3) zu Mecklenburgische Seenplatte,,
4) zu Vorpommern-Rügen,,
5) zu Nordwestmecklenburg,,
"Noch: 2. Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im Juli 2013 in Beherbergungsbetrieben",,
(einschl. Camping) ,,
 2.4 nach Kreisen und nach dem ständigen Wohnsitz der Gäste,,
,,
"Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt
______
Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",Juli 2013,
,Ankünfte,Übernachtungen
,"insge-
samt","insge-
samt"
,,
,,
,,
,,
,,
,Anzahl,Anzahl
,,
Mecklenburg-Vorpommern,1 122 554,5 215 524
Deutschland,1 044 967,4 989 578
Ausland,77 587, 225 946
,,
"Rostock, Hansestadt",94 707,340 723
Deutschland,82 133,310 474
Ausland,12 574,30 249
,,
"Schwerin, Landeshauptstadt",23 751,45 041
Deutschland,20 100,38 830
Ausland,3 651,6 211
,,
Mecklenburgische,,
Seenplatte,182 709, 725 218
Deutschland,175 056, 701 669
Ausland,7 653,23 549
,,
Landkreis Rostock,151 080,781 645
Deutschland,143 484,757 795
Ausland,7 596,23 850
,,
Vorpommern-Rügen,343 290,1718 640
Deutschland,315 556,1631 699
Ausland,27 734,86 941
,,
Nordwestmecklenburg,78 885,353 884
Deutschland,71 859,336 799
Ausland,7 026,17 085
,,
Vorpommern-Greifswald,198 768,1 062 812
Deutschland,191 501,1 037 993
Ausland,7 267,24 819
,,
Ludwigslust-Parchim,49 364,187 561
Deutschland,45 278,174 319
Ausland,4 086,13 242
,,
Nachrichtlich,,
,,
"Greifswald, Hansestadt 2)",10 537,24 930
Deutschland,9 638,23 080
Ausland,899,1 850
,,
"Neubrandenburg, Stadt 3)",7 513, 14 619
Deutschland,6 769, 13 056
Ausland,744,1 563
,,
"Stralsund, Hansestadt 4)",27 032, 62 068
Deutschland,21 416, 49 526
Ausland,5 616,12 542
,,
"Wismar, Hansestadt 5)",15 323, 36 428
Deutschland,12 008, 30 646
Ausland,3 315,5 782
______,,
1) Rechnerischer Wert (Übernachtungen/Ankünfte),,
2) zu Vorpommern-Greifswald,,
3) zu Mecklenburgische Seenplatte,,
4) zu Vorpommern-Rügen,,
5) zu Nordwestmecklenburg,,
"Noch: 2. Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im August 2013 in Beherbergungsbetrieben",,
(einschl. Camping) ,,
 2.4 nach Kreisen und nach dem ständigen Wohnsitz der Gäste,,
,,
"Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt
______
Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",August 2013,
,Ankünfte,Übernachtungen
,"insge-
samt","insge-
samt"
,,
,,
,,
,,
,,
,Anzahl,Anzahl
,,
Mecklenburg-Vorpommern,1 080 904,5 016 854
Deutschland,1 024 360,4 841 074
Ausland,56 544, 175 780
,,
"Rostock, Hansestadt",92 808,322 476
Deutschland,84 928,303 167
Ausland,7 880,19 309
,,
"Schwerin, ",,
Landeshauptstadt,26 182,48 551
Deutschland,23 005,43 003
Ausland,3 177,5 548
,,
Mecklenburgische,,
Seenplatte,171 187, 659 291
Deutschland,165 315, 641 915
Ausland,5 872,17 376
,,
Landkreis Rostock,147 397,757 179
Deutschland,141 375,738 191
Ausland,6 022,18 988
,,
Vorpommern-Rügen,332 066,1708 556
Deutschland,312 386,1640 787
Ausland,19 680,67 769
,,
Nordwestmecklenburg,74 972,327 604
Deutschland,70 266,314 843
Ausland,4 706,12 761
,,
Vorpommern-Greifswald,188 647,1 020 688
Deutschland,182 632, 998 804
Ausland,6 015,21 884
,,
Ludwigslust-Parchim,47 645,172 509
Deutschland,44 453,160 364
Ausland,3 192,12 145
,,
Nachrichtlich,,
,,
"Greifswald, Hansestadt 2)",11 088,28 289
Deutschland,10 164,26 115
Ausland,924,2 174
,,
"Neubrandenburg, Stadt 3)",7 547, 14 328
Deutschland,6 960, 13 474
Ausland,587,854
,,
"Stralsund, Hansestadt 4)",26 901, 64 728
Deutschland,23 572, 57 145
Ausland,3 329,7 583
,,
"Wismar, Hansestadt 5)",15 383, 36 472
Deutschland,13 245, 32 613
Ausland,2 138,3 859
______,,
1) Rechnerischer Wert (Übernachtungen/Ankünfte),,
2) zu Vorpommern-Greifswald,,
3) zu Mecklenburgische Seenplatte,,
4) zu Vorpommern-Rügen,,
5) zu Nordwestmecklenburg,,
"Noch: 2. Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im September 2013 in Beherbergungsbetrieben
(einschl. Camping) 
2.4 nach Kreisen und nach dem ständigen Wohnsitz der Gäste",,
,,
"Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt
______
Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",September 2013,
,Ankünfte,Übernachtungen
,"insge-
samt","insge-
samt"
,,
,,
,,
,,
,,
,Anzahl,Anzahl
,,
Mecklenburg-Vorpommern, 735 568,2 904 586
Deutschland, 700 556,2 814 327
Ausland,35 012, 90 259
,,
"Rostock, Hansestadt",73 357,202 217
Deutschland,67 340,188 432
Ausland,6 017,13 785
,,
"Schwerin, ",,
Landeshauptstadt,22 278,41 772
Deutschland,20 015,37 623
Ausland,2 263,4 149
,,
Mecklenburgische,,
Seenplatte,98 604, 313 306
Deutschland,95 750, 306 115
Ausland,2 854,7 191
,,
Landkreis Rostock,104 914,455 643
Deutschland,101 894,448 853
Ausland,3 020,6 790
,,
Vorpommern-Rügen,219 689,977 598
Deutschland,209 009,944 849
Ausland,10 680,32 749
,,
Nordwestmecklenburg,52 788,200 182
Deutschland,49 923,193 787
Ausland,2 865,6 395
,,
Vorpommern-Greifswald,126 179, 599 194
Deutschland,123 106, 588 913
Ausland,3 073,10 281
,,
Ludwigslust-Parchim,37 759,114 674
Deutschland,33 519,105 755
Ausland,4 240,8 919
,,
Nachrichtlich,,
,,
"Greifswald, Hansestadt 2)",9 309,22 734
Deutschland,8 535,21 050
Ausland,774,1 684
,,
"Neubrandenburg, Stadt 3)",7 113, 12 882
Deutschland,6 597, 12 045
Ausland,516,837
,,
"Stralsund, Hansestadt 4)",21 023, 51 030
Deutschland,18 665, 45 240
Ausland,2 358,5 790
,,
"Wismar, Hansestadt 5)",11 852, 28 969
Deutschland,10 164, 26 067
Ausland,1 688,2 902
______,,
1) Rechnerischer Wert (Übernachtungen/Ankünfte),,
2) zu Vorpommern-Greifswald,,
3) zu Mecklenburgische Seenplatte,,
4) zu Vorpommern-Rügen,,
5) zu Nordwestmecklenburg,,
"Noch: 2. Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im Oktober 2013 in Beherbergungsbetrieben
(einschl. Camping) 
2.4 nach Kreisen und nach dem ständigen Wohnsitz der Gäste",,
,,
"Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt
______
Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",Oktober 2013,
,Ankünfte,Übernachtungen
,"insge-
samt","insge-
samt"
,,
,,
,,
,,
,,
,Anzahl,Anzahl
,,
Mecklenburg-Vorpommern, 595 286,2 291 417
Deutschland, 571 174,2 232 067
Ausland,24 112, 59 350
,,
"Rostock, Hansestadt",66 101,175 797
Deutschland,61 389,165 645
Ausland,4 712,10 152
,,
"Schwerin, ",,
Landeshauptstadt,16 388,30 416
Deutschland,14 944,28 009
Ausland,1 444,2 407
,,
Mecklenburgische,,
Seenplatte,67 112, 233 336
Deutschland,65 340, 229 289
Ausland,1 772,4 047
,,
Landkreis Rostock,91 894,396 977
Deutschland,88 608,388 266
Ausland,3 286,8 711
,,
Vorpommern-Rügen,174 343,751 446
Deutschland,168 409,733 604
Ausland,5 934,17 842
,,
Nordwestmecklenburg,45 408,174 041
Deutschland,43 356,168 569
Ausland,2 052,5 472
,,
Vorpommern-Greifswald,105 161, 440 661
Deutschland,103 647, 436 025
Ausland,1 514,4 636
,,
Ludwigslust-Parchim,28 879,88 743
Deutschland,25 481,82 660
Ausland,3 398,6 083
,,
Nachrichtlich,,
,,
"Greifswald, Hansestadt 2)",7 270,16 870
Deutschland,6 765,15 090
Ausland,505,1 780
,,
"Neubrandenburg, Stadt 3)",5 596, 9 475
Deutschland,5 076, 8 735
Ausland,520,740
,,
"Stralsund, Hansestadt 4)",17 497, 42 795
Deutschland,15 848, 38 189
Ausland,1 649,4 606
,,
"Wismar, Hansestadt 5)",9 869, 25 045
Deutschland,8 561, 22 722
Ausland,1 308,2 323
______,,
1) Rechnerischer Wert (Übernachtungen/Ankünfte),,
2) zu Vorpommern-Greifswald,,
3) zu Mecklenburgische Seenplatte,,
4) zu Vorpommern-Rügen,,
5) zu Nordwestmecklenburg,,
"Noch: 2. Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im November 2013 in Beherbergungsbetrieben
(einschl. Camping) Mecklenburg-Vorpommerns 
2.4 nach Kreisen und nach dem ständigen Wohnsitz der Gäste",,
,,
"Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt
______
Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",November 2013,
,Ankünfte,Übernachtungen
,"insge-
samt","insge-
samt"
,,
,,
,,
,,
,,
,Anzahl,Anzahl
,,
Mecklenburg-Vorpommern, 346 120,1 139 768
Deutschland, 330 596,1 104 230
Ausland,15 524, 35 538
,,
"Rostock, Hansestadt",51 831,114 937
Deutschland,46 269,102 612
Ausland,5 562,12 325
,,
"Schwerin, Landeshauptstadt",12 615,20 437
Deutschland,11 606,18 579
Ausland,1 009,1 858
,,
Mecklenburgische,,
Seenplatte,41 618, 119 154
Deutschland,40 612, 116 886
Ausland,1 006,2 268
,,
Landkreis Rostock,55 576,217 437
Deutschland,53 924,213 394
Ausland,1 652,4 043
,,
Vorpommern-Rügen,78 630,301 937
Deutschland,76 049,295 418
Ausland,2 581,6 519
,,
Nordwestmecklenburg,25 371,89 950
Deutschland,23 846,86 768
Ausland,1 525,3 182
,,
Vorpommern-Greifswald,59 605, 216 329
Deutschland,58 572, 213 361
Ausland,1 033,2 968
,,
Ludwigslust-Parchim,20 874,59 587
Deutschland,19 718,57 212
Ausland,1 156,2 375
,,
Nachrichtlich,,
,,
"Greifswald, Hansestadt 2)",5 491,10 686
Deutschland,5 067,9 327
Ausland,424,1 359
,,
"Neubrandenburg, Stadt 3)",5 653, 8 488
Deutschland,5 236, 7 657
Ausland,417,831
,,
"Stralsund, Hansestadt 4)",11 104, 23 629
Deutschland,10 119, 21 437
Ausland,985,2 192
,,
"Wismar, Hansestadt 5)",6 990, 18 229
Deutschland,5 933, 16 223
Ausland,1 057,2 006
______,,
1) Rechnerischer Wert (Übernachtungen/Ankünfte),,
2) zu Vorpommern-Greifswald,,
3) zu Mecklenburgische Seenplatte,,
4) zu Vorpommern-Rügen,,
5) zu Nordwestmecklenburg,,
"Noch: 2. Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im Dezember 2013 in Beherbergungsbetrieben
(einschl. Camping) Mecklenburg-Vorpommerns
2.4 nach Kreisen und nach dem ständigen Wohnsitz der Gäste",,
,,
"Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt
______
Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",Dezember 2013,
,Ankünfte,Übernachtungen
,"insge-
samt","insge-
samt"
,,
,,
,,
,,
,,
,Anzahl,Anzahl
,,
Mecklenburg-Vorpommern,328621,1108969
Deutschland,313802,1071523
Ausland,14819,37446
,,
"Rostock, Hansestadt",50107,113965
Deutschland,44600,100535
Ausland,5507,13430
,,
"Schwerin, Landeshauptstadt",12365,21297
Deutschland,11188,19126
Ausland,1177,2171
,,
Mecklenburgische,,
Seenplatte,39376,118319
Deutschland,38299,116296
Ausland,1077,2023
,,
Landkreis Rostock,52793,205286
Deutschland,51375,201660
Ausland,1418,3626
,,
Vorpommern-Rügen,78167,306726
Deutschland,75751,299902
Ausland,2416,6824
,,
Nordwestmecklenburg,24080,86765
Deutschland,22333,81762
Ausland,1747,5003
,,
Vorpommern-Greifswald,53802,200887
Deutschland,53203,198614
Ausland,599,2273
,,
Ludwigslust-Parchim,17931,55724
Deutschland,17053,53628
Ausland,878,2096
,,
Nachrichtlich,,
,,
"Greifswald, Hansestadt 2)",3951,8140
Deutschland,3719,7499
Ausland,232,641
,,
"Neubrandenburg, Stadt 3)",5104,8474
Deutschland,4638,7770
Ausland,466,704
,,
"Stralsund, Hansestadt 4)",9954,22177
Deutschland,9026,19864
Ausland,928,2313
,,
"Wismar, Hansestadt 5)",6684,17973
Deutschland,5323,15216
Ausland,1361,2757
______,,
1) Rechnerischer Wert (Übernachtungen/Ankünfte),,
2) zu Vorpommern-Greifswald,,
3) zu Mecklenburgische Seenplatte,,
4) zu Vorpommern-Rügen,,
5) zu Nordwestmecklenburg,,
"Noch: 2. Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im Januar 2013 in Beherbergungsbetrieben
(einschl. Camping) Mecklenburg-Vorpommerns 
2.4 nach Kreisen und dem ständigen Wohnsitz der Gäste",,
,,
"Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt
______
Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",Januar 2013,
,Ankünfte,Übernachtungen
,"insge-
samt","insge-
samt"
,,
,,
,,
,,
,,
,Anzahl,Anzahl
,,
Mecklenburg-Vorpommern, 224 963, 828 925
Deutschland, 218 256, 810 049
Ausland,6 707, 18 876
,,
"Rostock, Hansestadt",32 894,76 922
Deutschland,30 531,69 722
Ausland,2 363,7 200
,,
"Schwerin, Landeshauptstadt",7 849,12 187
Deutschland,7 481,11 586
Ausland,368,601
,,
Mecklenburgische,,
Seenplatte,22 899, 85 049
Deutschland,22 322, 83 766
Ausland,577,1 283
,,
Landkreis Rostock,40 687,168 711
Deutschland,40 003,166 481
Ausland,684,2 230
,,
Vorpommern-Rügen,51 783,215 273
Deutschland,50 801,212 833
Ausland,982,2 440
,,
Nordwestmecklenburg,15 259,65 035
Deutschland,14 700,63 232
Ausland,559,1 803
,,
Vorpommern-Greifswald,39 379, 159 597
Deutschland,38 731, 157 423
Ausland,648,2 174
,,
Ludwigslust-Parchim,14 213,46 151
Deutschland,13 687,45 006
Ausland,526,1 145
,,
Nachrichtlich,,
,,
"Greifswald, Hansestadt 2)",3 421,7 612
Deutschland,3 112,6 731
Ausland,309,881
,,
"Neubrandenburg, Stadt 3)",4 241, 6 134
Deutschland,3 990, 5 810
Ausland,251,324
,,
"Stralsund, Hansestadt 4)",7 436, 15 684
Deutschland,7 073, 14 789
Ausland,363,895
,,
"Wismar, Hansestadt 5)",4 233, 12 338
Deutschland,3 838, 11 490
Ausland,395,848
______,,
1) Rechnerischer Wert (Übernachtungen/Ankünfte),,
2) zu Vorpommern-Greifswald,,
3) zu Mecklenburgische Seenplatte,,
4) zu Vorpommern-Rügen,,
5) zu Nordwestmecklenburg,,
