Gäste innerhalb/außerhalb,,
Deutschlands,,
,Anzahl,Anzahl
,,
Mecklenburg-Vorpommern, 739 061,2 673 869
   Deutschland, 708 428,2 593 844
   Ausland,30 633, 80 025
,,
"   Rostock, Hansestadt",59 030,156 069
      Deutschland,53 376,143 726
      Ausland,5 654,12 343
,,
"   Schwerin, Landeshauptstadt",20 812,38 033
      Deutschland,19 230,35 377
      Ausland,1 582,2 656
,,
   Mecklenburgische,,
     Seenplatte,119 531, 371 273
      Deutschland,116 749, 364 712
      Ausland,2 782,6 561
,,
   Landkreis Rostock,107 152,425 537
      Deutschland,103 885,416 528
      Ausland,3 267,9 009
,,
   Vorpommern-Rügen,203 074,830 702
      Deutschland,192 862,801 913
      Ausland,10 212,28 789
,,
   Nordwestmecklenburg,56 064,201 238
      Deutschland,53 121,192 776
      Ausland,2 943,8 462
,,
   Vorpommern-Greifswald,132 709, 530 219
      Deutschland,130 249, 522 856
      Ausland,2 460,7 363
,,
   Ludwigslust-Parchim,40 689,120 798
      Deutschland,38 956,115 956
      Ausland,1 733,4 842
,,
Nachrichtlich,,
,,
"   Greifswald, Hansestadt 2)",9 292,20 439
      Deutschland,8 774,18 865
      Ausland,518,1 574
,,
"   Neubrandenburg, Stadt 3)",7 291, 12 683
      Deutschland,6 903, 12 109
      Ausland,388,574
,,
"   Stralsund, Hansestadt 4)",19 182, 43 060
      Deutschland,16 987, 38 041
      Ausland,2 195,5 019
,,
"   Wismar, Hansestadt 5)",10 944, 25 729
      Deutschland,9 515, 23 301
      Ausland,1 429,2 428
______,,
1) Rechnerischer Wert (Übernachtungen/Ankünfte),,
2) zu Vorpommern-Greifswald,,
3) zu Mecklenburgische Seenplatte,,
4) zu Vorpommern-Rügen,,
5) zu Nordwestmecklenburg,,
"2.4  Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im Juni 2012 in Beherbergungsbetrieben",,
 (einschl. Camping) Mecklenburg-Vorpommerns nach Kreisen,,
und nach dem ständigen Wohnsitz der Gäste,,
,,
,Juni 2012,
Kreisfreie Stadt,Ankünfte,Übernachtungen
Landkreis,,
Große kreisangehörige Stadt,,
-,ins-,ins-
Ständiger Wohnsitz der,gesamt,gesamt
Gäste innerhalb/außerhalb,,
Deutschlands,,
,Anzahl,Anzahl
,,
Mecklenburg-Vorpommern, 780 537,3 155 068
   Deutschland, 740 790,3 043 365
   Ausland,39 747, 111 703
,,
"   Rostock, Hansestadt",61 797,175 609
      Deutschland,56 512,161 699
      Ausland,5 285,13 910
,,
"   Schwerin, Landeshauptstadt",22 065,39 961
      Deutschland,19 875,36 572
      Ausland,2 190,3 389
,,
   Mecklenburgische,,
     Seenplatte,119 368, 396 675
      Deutschland,114 824, 384 981
      Ausland,4 544,11 694
,,
   Landkreis Rostock,112 140,499 672
      Deutschland,108 842,490 202
      Ausland,3 298,9 470
,,
   Vorpommern-Rügen,222 030,1014 772
      Deutschland,208 703,973 180
      Ausland,13 327,41 592
,,
   Nordwestmecklenburg,55 581,215 772
      Deutschland,51 502,206 472
      Ausland,4 079,9 300
,,
   Vorpommern-Greifswald,146 495, 683 869
      Deutschland,142 226, 670 375
      Ausland,4 269,13 494
,,
   Ludwigslust-Parchim,41 061,128 738
      Deutschland,38 306,119 884
      Ausland,2 755,8 854
,,
Nachrichtlich,,
,,
"   Greifswald, Hansestadt 2)",9 569,22 534
      Deutschland,8 813,20 741
      Ausland,756,1 793
,,
"   Neubrandenburg, Stadt 3)",8 308, 15 083
      Deutschland,7 435, 13 795
      Ausland,873,1 288
,,
"   Stralsund, Hansestadt 4)",21 527, 50 200
      Deutschland,19 096, 44 287
      Ausland,2 431,5 913
,,
"   Wismar, Hansestadt 5)",11 919, 26 927
      Deutschland,9 832, 23 365
      Ausland,2 087,3 562
______,,
1) Rechnerischer Wert (Übernachtungen/Ankünfte),,
2) zu Vorpommern-Greifswald,,
3) zu Mecklenburgische Seenplatte,,
4) zu Vorpommern-Rügen,,
5) zu Nordwestmecklenburg,,
"2.4  Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im Juli 2012 in Beherbergungsbetrieben",,
 (einschl. Camping) Mecklenburg-Vorpommerns nach Kreisen,,
und nach dem ständigen Wohnsitz der Gäste,,
,,
,Juli 2012,
Kreisfreie Stadt,Ankünfte,Übernachtungen
Landkreis,,
Große kreisangehörige Stadt,,
-,ins-,ins-
Ständiger Wohnsitz der,gesamt,gesamt
Gäste innerhalb/außerhalb,,
Deutschlands,,
,Anzahl,Anzahl
,,
Mecklenburg-Vorpommern,1 016 911,4 764 334
   Deutschland, 944 914,4 553 015
   Ausland,71 997, 211 319
,,
"   Rostock, Hansestadt",70 699,219 697
      Deutschland,60 839,196 858
      Ausland,9 860,22 839
,,
"   Schwerin, Landeshauptstadt",23 543,43 407
      Deutschland,20 015,37 613
      Ausland,3 528,5 794
,,
   Mecklenburgische,,
     Seenplatte,158 174, 625 955
      Deutschland,151 133, 606 013
      Ausland,7 041,19 942
,,
   Landkreis Rostock,141 871,736 410
      Deutschland,134 365,712 637
      Ausland,7 506,23 773
,,
   Vorpommern-Rügen,322 179,1647 339
      Deutschland,296 508,1565 396
      Ausland,25 671,81 943
,,
   Nordwestmecklenburg,74 392,324 007
      Deutschland,66 774,306 444
      Ausland,7 618,17 563
,,
   Vorpommern-Greifswald,182 067, 998 621
      Deutschland,174 738, 972 333
      Ausland,7 329,26 288
,,
   Ludwigslust-Parchim,43 986,168 898
      Deutschland,40 542,155 721
      Ausland,3 444,13 177
,,
Nachrichtlich,,
,,
"   Greifswald, Hansestadt 2)",10 203,24 649
      Deutschland,9 187,22 249
      Ausland,1 016,2 400
,,
"   Neubrandenburg, Stadt 3)",7 232, 13 462
      Deutschland,6 357, 12 266
      Ausland,875,1 196
,,
"   Stralsund, Hansestadt 4)",26 737, 61 026
      Deutschland,21 453, 49 119
      Ausland,5 284,11 907
,,
"   Wismar, Hansestadt 5)",14 449, 34 412
      Deutschland,10 572, 27 492
      Ausland,3 877,6 920
______,,
1) Rechnerischer Wert (Übernachtungen/Ankünfte),,
2) zu Vorpommern-Greifswald,,
3) zu Mecklenburgische Seenplatte,,
4) zu Vorpommern-Rügen,,
5) zu Nordwestmecklenburg,,
"2.4  Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im August 2012 in Beherbergungsbetrieben",,
 (einschl. Camping) Mecklenburg-Vorpommerns nach Kreisen,,
und nach dem ständigen Wohnsitz der Gäste,,
,,
,August 2012,
Kreisfreie Stadt,Ankünfte,Übernachtungen
Landkreis,,
Große kreisangehörige Stadt,,
-,ins-,ins-
Ständiger Wohnsitz der,gesamt,gesamt
Gäste innerhalb/außerhalb,,
Deutschlands,,
,Anzahl,Anzahl
,,
Mecklenburg-Vorpommern,1 060 116,5 056 789
   Deutschland,1 006 251,4 896 374
   Ausland,53 865, 160 415
,,
"   Rostock, Hansestadt",72 371,229 571
      Deutschland,65 980,214 132
      Ausland,6 391,15 439
,,
"   Schwerin, Landeshauptstadt",24 431,46 216
      Deutschland,21 062,40 083
      Ausland,3 369,6 133
,,
   Mecklenburgische,,
     Seenplatte,168 020, 688 388
      Deutschland,161 785, 669 880
      Ausland,6 235,18 508
,,
   Landkreis Rostock,147 274,760 004
      Deutschland,142 489,745 291
      Ausland,4 785,14 713
,,
   Vorpommern-Rügen,337 358,1772 581
      Deutschland,318 850,1712 303
      Ausland,18 508,60 278
,,
   Nordwestmecklenburg,78 487,347 860
      Deutschland,73 527,335 875
      Ausland,4 960,11 985
,,
   Vorpommern-Greifswald,185 206,1 037 789
      Deutschland,179 028,1 015 149
      Ausland,6 178,22 640
,,
   Ludwigslust-Parchim,46 969,174 380
      Deutschland,43 530,163 661
      Ausland,3 439,10 719
,,
Nachrichtlich,,
,,
"   Greifswald, Hansestadt 2)",10 849,27 098
      Deutschland,9 754,24 457
      Ausland,1 095,2 641
,,
"   Neubrandenburg, Stadt 3)",7 699, 14 384
      Deutschland,6 613, 12 736
      Ausland,1 086,1 648
,,
"   Stralsund, Hansestadt 4)",28 187, 63 236
      Deutschland,24 732, 55 600
      Ausland,3 455,7 636
,,
"   Wismar, Hansestadt 5)",15 277, 37 210
      Deutschland,12 943, 32 683
      Ausland,2 334,4 527
______,,
1) Rechnerischer Wert (Übernachtungen/Ankünfte),,
2) zu Vorpommern-Greifswald,,
3) zu Mecklenburgische Seenplatte,,
4) zu Vorpommern-Rügen,,
5) zu Nordwestmecklenburg,,
"2.4  Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im September 2012 in Beherbergungsbetrieben",,
 (einschl. Camping) Mecklenburg-Vorpommerns nach Kreisen,,
und nach dem ständigen Wohnsitz der Gäste,,
,,
,September 2012,
Kreisfreie Stadt,Ankünfte,Übernachtungen
Landkreis,,
Große kreisangehörige Stadt,,
-,ins-,ins-
Ständiger Wohnsitz der,gesamt,gesamt
Gäste innerhalb/außerhalb,,
Deutschlands,,
,Anzahl,Anzahl
,,
Mecklenburg-Vorpommern, 738 474,2 907 934
   Deutschland, 704 661,2 817 749
   Ausland,33 813, 90 185
,,
"   Rostock, Hansestadt",62 277,161 723
      Deutschland,56 967,149 214
      Ausland,5 310,12 509
,,
"   Schwerin, Landeshauptstadt",21 593,40 181
      Deutschland,19 244,36 079
      Ausland,2 349,4 102
,,
   Mecklenburgische,,
     Seenplatte,101 692, 334 561
      Deutschland,98 553, 325 995
      Ausland,3 139,8 566
,,
   Landkreis Rostock,107 060,464 628
      Deutschland,103 067,454 764
      Ausland,3 993,9 864
,,
   Vorpommern-Rügen,219 646,973 168
      Deutschland,209 681,943 143
      Ausland,9 965,30 025
,,
   Nordwestmecklenburg,52 804,199 234
      Deutschland,50 389,193 781
      Ausland,2 415,5 453
,,
   Vorpommern-Greifswald,135 142, 620 412
      Deutschland,131 599, 608 811
      Ausland,3 543,11 601
,,
   Ludwigslust-Parchim,38 260,114 027
      Deutschland,35 161,105 962
      Ausland,3 099,8 065
,,
Nachrichtlich,,
,,
"   Greifswald, Hansestadt 2)",9 733,24 196
      Deutschland,8 845,21 820
      Ausland,888,2 376
,,
"   Neubrandenburg, Stadt 3)",7 906, 14 024
      Deutschland,7 445, 13 422
      Ausland,461,602
,,
"   Stralsund, Hansestadt 4)",20 823, 49 797
      Deutschland,18 783, 45 076
      Ausland,2 040,4 721
,,
"   Wismar, Hansestadt 5)",12 241, 28 275
      Deutschland,10 951, 26 090
      Ausland,1 290,2 185
______,,
1) Rechnerischer Wert (Übernachtungen/Ankünfte),,
2) zu Vorpommern-Greifswald,,
3) zu Mecklenburgische Seenplatte,,
4) zu Vorpommern-Rügen,,
5) zu Nordwestmecklenburg,,
"2.4  Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im Oktober 2012 in Beherbergungsbetrieben",,
 (einschl. Camping) Mecklenburg-Vorpommerns nach Kreisen,,
und nach dem ständigen Wohnsitz der Gäste,,
,,
,Oktober 2012,
Kreisfreie Stadt,Ankünfte,Übernachtungen
Landkreis,,
Große kreisangehörige Stadt,,
-,ins-,ins-
Ständiger Wohnsitz der,gesamt,gesamt
Gäste innerhalb/außerhalb,,
Deutschlands,,
,Anzahl,Anzahl
,,
Mecklenburg-Vorpommern, 555 145,2 155 317
   Deutschland, 532 000,2 098 550
   Ausland,23 145, 56 767
,,
"   Rostock, Hansestadt",53 605,141 352
      Deutschland,49 373,130 966
      Ausland,4 232,10 386
,,
"   Schwerin, Landeshauptstadt",14 613,26 323
      Deutschland,13 161,23 626
      Ausland,1 452,2 697
,,
   Mecklenburgische,,
     Seenplatte,67 347, 235 516
      Deutschland,65 520, 231 129
      Ausland,1 827,4 387
,,
   Landkreis Rostock,88 488,378 652
      Deutschland,85 007,369 042
      Ausland,3 481,9 610
,,
   Vorpommern-Rügen,162 438,699 328
      Deutschland,157 130,684 288
      Ausland,5 308,15 040
,,
   Nordwestmecklenburg,39 400,153 862
      Deutschland,37 548,149 566
      Ausland,1 852,4 296
,,
   Vorpommern-Greifswald,100 213, 431 048
      Deutschland,98 514, 426 251
      Ausland,1 699,4 797
,,
   Ludwigslust-Parchim,29 041,89 236
      Deutschland,25 747,83 682
      Ausland,3 294,5 554
,,
Nachrichtlich,,
,,
"   Greifswald, Hansestadt 2)",7 244,16 013
      Deutschland,6 729,14 837
      Ausland,515,1 176
,,
"   Neubrandenburg, Stadt 3)",5 559, 10 007
      Deutschland,5 075, 9 372
      Ausland,484,635
,,
"   Stralsund, Hansestadt 4)",18 277, 41 816
      Deutschland,16 637, 37 839
      Ausland,1 640,3 977
,,
"   Wismar, Hansestadt 5)",9 235, 23 313
      Deutschland,8 084, 21 161
      Ausland,1 151,2 152
______,,
1) Rechnerischer Wert (Übernachtungen/Ankünfte),,
2) zu Vorpommern-Greifswald,,
3) zu Mecklenburgische Seenplatte,,
4) zu Vorpommern-Rügen,,
5) zu Nordwestmecklenburg,,
"2.4  Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im November 2012 in Beherbergungsbetrieben",,
 (einschl. Camping) Mecklenburg-Vorpommerns nach Kreisen,,
und nach dem ständigen Wohnsitz der Gäste,,
,,
,November 2012,
Kreisfreie Stadt,Ankünfte,Übernachtungen
Landkreis,,
Große kreisangehörige Stadt,,
-,ins-,ins-
Ständiger Wohnsitz der,gesamt,gesamt
Gäste innerhalb/außerhalb,,
Deutschlands,,
,Anzahl,Anzahl
,,
Mecklenburg-Vorpommern, 337 821,1 113 985
   Deutschland, 321 734,1 077 860
   Ausland,16 087, 36 125
,,
"   Rostock, Hansestadt",46 604,102 213
      Deutschland,40 461,88 310
      Ausland,6 143,13 903
,,
"   Schwerin, Landeshauptstadt",12 799,19 531
      Deutschland,12 005,18 302
      Ausland,794,1 229
,,
   Mecklenburgische,,
     Seenplatte,40 070, 116 332
      Deutschland,38 632, 113 319
      Ausland,1 438,3 013
,,
   Landkreis Rostock,58 172,221 655
      Deutschland,56 395,217 733
      Ausland,1 777,3 922
,,
   Vorpommern-Rügen,78 024,302 239
      Deutschland,75 330,295 898
      Ausland,2 694,6 341
,,
   Nordwestmecklenburg,22 968,81 443
      Deutschland,21 293,77 762
      Ausland,1 675,3 681
,,
   Vorpommern-Greifswald,59 062, 213 008
      Deutschland,58 160, 210 338
      Ausland,902,2 670
,,
   Ludwigslust-Parchim,20 122,57 564
      Deutschland,19 458,56 198
      Ausland,664,1 366
,,
Nachrichtlich,,
,,
"   Greifswald, Hansestadt 2)",5 709,11 230
      Deutschland,5 318,10 285
      Ausland,391,945
,,
"   Neubrandenburg, Stadt 3)",6 120, 8 900
      Deutschland,5 425, 8 056
      Ausland,695,844
,,
"   Stralsund, Hansestadt 4)",11 027, 22 374
      Deutschland,10 044, 20 148
      Ausland,983,2 226
,,
"   Wismar, Hansestadt 5)",6 666, 16 817
      Deutschland,5 592, 14 939
      Ausland,1 074,1 878
______,,
1) Rechnerischer Wert (Übernachtungen/Ankünfte),,
2) zu Vorpommern-Greifswald,,
3) zu Mecklenburgische Seenplatte,,
4) zu Vorpommern-Rügen,,
5) zu Nordwestmecklenburg,,
"2.4  Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im Dezember 2012 in Beherbergungsbetrieben",,
 (einschl. Camping) Mecklenburg-Vorpommerns nach Kreisen,,
und nach dem ständigen Wohnsitz der Gäste,,
,,
,Dezember 2012,
Kreisfreie Stadt,Ankünfte,Übernachtungen
Landkreis,,
Große kreisangehörige Stadt,,
-,ins-,ins-
Ständiger Wohnsitz der,gesamt,gesamt
Gäste innerhalb/außerhalb,,
Deutschlands,,
,Anzahl,Anzahl
,,
Mecklenburg-Vorpommern, 312 330,1 069 284
   Deutschland, 296 233,1 029 898
   Ausland,16 097, 39 386
,,
"   Rostock, Hansestadt",47 038,110 941
      Deutschland,40 124,94 238
      Ausland,6 914,16 703
,,
"   Schwerin, Landeshauptstadt",11 500,19 717
      Deutschland,10 369,17 564
      Ausland,1 131,2 153
,,
   Mecklenburgische,,
     Seenplatte,36 240, 117 561
      Deutschland,34 887, 114 782
      Ausland,1 353,2 779
,,
   Landkreis Rostock,50 416,196 425
      Deutschland,48 298,191 449
      Ausland,2 118,4 976
,,
   Vorpommern-Rügen,76 349,293 827
      Deutschland,74 697,288 986
      Ausland,1 652,4 841
,,
   Nordwestmecklenburg,21 801,80 879
      Deutschland,20 074,76 561
      Ausland,1 727,4 318
,,
   Vorpommern-Greifswald,50 883, 196 244
      Deutschland,50 265, 194 074
      Ausland,618,2 170
,,
   Ludwigslust-Parchim,18 103,53 690
      Deutschland,17 519,52 244
      Ausland,584,1 446
,,
Nachrichtlich,,
,,
"   Greifswald, Hansestadt 2)",4 244,8 830
      Deutschland,4 004,8 049
      Ausland,240,781
,,
"   Neubrandenburg, Stadt 3)",4 716, 7 157
      Deutschland,3 989, 6 075
      Ausland,727,1 082
,,
"   Stralsund, Hansestadt 4)",9 905, 21 752
      Deutschland,9 131, 19 581
      Ausland,774,2 171
,,
"   Wismar, Hansestadt 5)",6 352, 16 336
      Deutschland,5 080, 13 778
      Ausland,1 272,2 558
______,,
1) Rechnerischer Wert (Übernachtungen/Ankünfte),,
2) zu Vorpommern-Greifswald,,
3) zu Mecklenburgische Seenplatte,,
4) zu Vorpommern-Rügen,,
5) zu Nordwestmecklenburg,,
"2.4  Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im Januar 2012 in Beherbergungsbetrieben",,
 (einschl. Camping) Mecklenburg-Vorpommerns nach Kreisen,,
und nach dem ständigen Wohnsitz der Gäste,,
,,
,Januar 2012,
Kreisfreie Stadt,Ankünfte,Übernachtungen
Landkreis,,
Große kreisangehörige Stadt,,
-,ins-,ins-
Ständiger Wohnsitz der,gesamt,gesamt
Gäste innerhalb/außerhalb,,
Deutschlands,,
,Anzahl,Anzahl
,,
Mecklenburg-Vorpommern, 236 422, 822 736
   Deutschland, 230 010, 805 031
   Ausland,6 412, 17 705
,,
"   Rostock, Hansestadt",31 556,73 605
      Deutschland,29 888,67 730
      Ausland,1 668,5 875
,,
"   Schwerin, Landeshauptstadt",8 077,12 883
      Deutschland,7 736,12 215
      Ausland,341,668
,,
   Mecklenburgische,,
     Seenplatte,26 010, 82 968
      Deutschland,25 445, 81 755
      Ausland,565,1 213
,,
   Landkreis Rostock,45 813,168 442
      Deutschland,44 580,165 203
      Ausland,1 233,3 239
,,
   Vorpommern-Rügen,55 446,224 053
      Deutschland,54 228,220 701
      Ausland,1 218,3 352
,,
   Nordwestmecklenburg,15 441,61 098
      Deutschland,15 058,60 393
      Ausland,383,705
,,
   Vorpommern-Greifswald,40 707, 154 081
      Deutschland,40 204, 152 391
      Ausland,503,1 690
,,
