© Landesamt fü,,,,,,
"r Statistik Niedersachsen, 2019.",,,,,,
"Vervielfältigung und Verbreitung, auch auszugsweise, mit Quellenangabe gestattet.",,,,,,
,,,,,,
LSN-Online: Tabelle Z7360122,,,,,,
,,,,,,
Monatserhebung im Tourismus in Niedersachsen (Gebietsstand: 01.07.2017),,,,,,
- Geöffnete Beherbergungsbetriebe mit mindestens 10 Betten und geöffnete Campinglätze mit mindestens 10 Stellplätzen -,,,,,,
 ,,,,,,
Zeitraum: Juni*,,,,,,
,,,,,,
"Niedersachsen
Statistische Region*
Kreis*
Gemeinde*
------
Jahr",Ankünfte,,Übernachtungen,,durchschnittl.,
2010,"117,3","122,5","158,4","184,3",135,"119,9"
2011,"120,6","123,9","143,8","164,3","119,2","105,8"
2012,"110,2","108,8","173,5","189,6","157,5",134
2013,"127,2","125,1","172,7","189,9","135,8","124,9"
2014,"120,5","114,5",148,"150,8","122,8","106,5"
2015,147,"144,5",170,"173,8","115,7","103,3"
2016,"142,1","138,8","162,9",172,"114,6","116,7"
2017,"148,1","146,4","170,3","181,6",115,"108,9"
2018,"142,5","136,1","183,6","176,3","128,9","117,3"
"103     Wolfsburg,Stadt          ",,,,,,
 ,,,,,,
2009,22901,19119,43221,34913,"1,9","41,5"
2010,20840,17426,41986,32874,2,"40,4"
2011,22864,19668,45700,37614,2,"43,1"
2012,21218,18157,44149,34776,"2,1","39,7"
2013,20345,16827,43479,32195,"2,1","38,3"
2014,24024,19139,41738,32697,"1,7","36,7"
2015,30783,24251,51049,39198,"1,7",39
2016,29727,23538,51767,40356,"1,7","39,6"
2017,27990,21908,45541,35772,"1,6","34,6"
2018,33291,25744,52916,39196,"1,6","36,7"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"18,3",20,"13,2","18,9","-4,4","8,9"
2010,-9,"-8,9","-2,9","-5,8","6,7","-2,6"
2011,"9,7","12,9","8,8","14,4","-0,8","6,6"
2012,"-7,2","-7,7","-3,4","-7,5","4,1",-8
2013,"-4,1","-7,3","-1,5","-7,4","2,7","-3,5"
2014,"18,1","13,7",-4,"1,6","-18,7",-4
2015,"28,1","26,7","22,3","19,9","-4,5","6,1"
2016,"-3,4","-2,9","1,4",3,5,"1,6"
2017,"-5,8","-6,9",-12,"-11,4","-6,6","-12,6"
2018,"18,9","17,5","16,2","9,6","-2,3",6
 ,,,,,,
2009 = 100 ,,,,,,
2009,100,100,100,100,100,100
2010,91,"91,1","97,1","94,2","106,7","97,4"
2011,"99,8","102,9","105,7","107,7","105,9","103,9"
2012,"92,7",95,"102,1","99,6","110,2","95,6"
2013,"88,8",88,"100,6","92,2","113,2","92,2"
2014,"104,9","100,1","96,6","93,7","92,1","88,5"
2015,"134,4","126,8","118,1","112,3","87,9","93,9"
2016,"129,8","123,1","119,8","115,6","92,3","95,4"
2017,"122,2","114,6","105,4","102,5","86,2","83,4"
2018,"145,4","134,7","122,4","112,3","84,2","88,4"
151     Gifhorn                  ,,,,,,
 ,,,,,,
2009,11414,10311,31115,26771,"2,7","22,9"
2010,12675,11255,31512,27448,"2,5","24,1"
2011,12770,11608,36050,31580,"2,8","27,9"
2012,14137,12513,37096,31954,"2,6","30,7"
2013,15042,13464,38515,31889,"2,6","34,1"
2014,13562,12252,37074,32132,"2,7","32,6"
2015,13770,12294,38189,32443,"2,8",30
2016,12805,11460,35865,29965,"2,8","28,6"
2017,11987,10680,29822,26584,"2,5","24,7"
2018,13404,11861,32898,28464,"2,5","27,4"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"9,6","13,2","9,7","16,4","0,1","-1,4"
2010,11,"9,2","1,3","2,5","-8,8","5,2"
2011,"0,7","3,1","14,4","15,1","13,5","15,4"
2012,"10,7","7,8","2,9","1,2",-7,"10,3"
2013,"6,4","7,6","3,8","-0,2","-2,4","10,9"
2014,"-9,8",-9,"-3,7","0,8","6,8","-4,2"
2015,"1,5","0,3",3,1,"1,5","-8,1"
2016,-7,"-6,8","-6,1","-7,6",1,"-4,6"
2017,"-6,4","-6,8","-16,8","-11,3","-11,2","-13,5"
2018,"11,8","11,1","10,3","7,1","-1,3","10,6"
 ,,,,,,
2009 = 100 ,,,,,,
2009,100,100,100,100,100,100
2010,111,"109,2","101,3","102,5","91,2","105,2"
2011,"111,9","112,6","115,9",118,"103,6","121,4"
2012,"123,9","121,4","119,2","119,4","96,3","133,9"
2013,"131,8","130,6","123,8","119,1","93,9","148,5"
2014,"118,8","118,8","119,2",120,"100,3","142,3"
2015,"120,6","119,2","122,7","121,2","101,7","130,7"
2016,"112,2","111,1","115,3","111,9","102,7","124,7"
2017,105,"103,6","95,8","99,3","91,3","107,8"
2018,"117,4",115,"105,7","106,3",90,"119,2"
153     Goslar                   ,,,,,,
 ,,,,,,
2009,54916,47845,183023,161950,"3,3","25,4"
2010,57041,49848,193678,172629,"3,4","26,6"
2011,67829,58640,217571,189882,"3,2","30,2"
2012,62555,52955,203636,176772,"3,3",29
2013,59158,51103,196333,170746,"3,3","28,2"
2014,68379,59106,214578,187550,"3,1","30,6"
2015,62654,53470,201730,175011,"3,2","28,1"
2016,63465,54595,205853,180579,"3,2","30,1"
2017,68588,59640,217222,191311,"3,2",33
2018,65315,56311,206238,181050,"3,2","30,5"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"4,9","6,1","0,1","0,2","-4,6",1
2010,"3,9","4,2","5,8","6,6","1,9","4,7"
2011,"18,9","17,6","12,3",10,"-5,5","13,8"
2012,"-7,8","-9,7","-6,4","-6,9","1,5","-4,1"
2013,"-5,4","-3,5","-3,6","-3,4",2,"-2,9"
2014,"15,6","15,7","9,3","9,8","-5,4","8,6"
2015,"-8,4","-9,5",-6,"-6,7","2,6","-7,9"
2016,"1,3","2,1",2,"3,2","0,7",7
2017,"8,1","9,2","5,5","5,9","-2,4","9,5"
2018,"-4,8","-5,6","-5,1","-5,4","-0,3","-7,6"
 ,,,,,,
2009 = 100 ,,,,,,
2009,100,100,100,100,100,100
2010,"103,9","104,2","105,8","106,6","101,9","104,7"
2011,"123,5","122,6","118,9","117,2","96,2","119,1"
2012,"113,9","110,7","111,3","109,2","97,7","114,2"
2013,"107,7","106,8","107,3","105,4","99,6","110,9"
2014,"124,5","123,5","117,2","115,8","94,2","120,4"
2015,"114,1","111,8","110,2","108,1","96,6","110,8"
2016,"115,6","114,1","112,5","111,5","97,3","118,6"
2017,"124,9","124,7","118,7","118,1",95,"129,9"
2018,"118,9","117,7","112,7","111,8","94,7",120
154     Helmstedt                ,,,,,,
 ,,,,,,
2009,9429,7375,17424,13955,"1,8",26
2010,9673,8050,17808,15341,"1,8","27,6"
2011,9263,7816,16578,14229,"1,8","25,9"
2012,9236,7982,14954,13119,"1,6","25,2"
2013,9628,8144,16174,13576,"1,7","27,8"
2014,8831,6781,15923,12391,"1,8","27,5"
2015,8975,7150,16003,12908,"1,8","27,1"
2016,10808,7387,17756,13529,"1,6","27,9"
2017,9335,7825,16135,13655,"1,7","27,2"
2018,9716,8356,15300,13070,"1,6","21,5"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"5,5","-5,1","9,9","-1,6","4,2",1
2010,"2,6","9,2","2,2","9,9","-0,4","6,3"
2011,"-4,2","-2,9","-6,9","-7,2","-2,8","-6,3"
2012,"-0,3","2,1","-9,8","-7,8","-9,5","-2,7"
2013,"4,2",2,"8,2","3,5","3,8","10,6"
2014,"-8,3","-16,7","-1,6","-8,7","7,3","-1,3"
2015,"1,6","5,4","0,5","4,2","-1,1","-1,3"
2016,"20,4","3,3",11,"4,8","-7,9","2,9"
2017,"-13,6","5,9","-9,1","0,9","5,2","-2,5"
2018,"4,1","6,8","-5,2","-4,3","-8,9",-21
 ,,,,,,
2009 = 100 ,,,,,,
2009,100,100,100,100,100,100
2010,"102,6","109,2","102,2","109,9","99,6","106,3"
2011,"98,2",106,"95,1",102,"96,8","99,6"
2012,98,"108,2","85,8",94,"87,6",97
2013,"102,1","110,4","92,8","97,3","90,9","107,3"
2014,"93,7","91,9","91,4","88,8","97,6","105,8"
2015,"95,2","96,9","91,8","92,5","96,5","104,5"
2016,"114,6","100,2","101,9","96,9","88,9","107,4"
2017,99,"106,1","92,6","97,9","93,5","104,7"
2018,103,"113,3","87,8","93,7","85,2","82,8"
155     Northeim                 ,,,,,,
 ,,,,,,
2009,18005,15536,50873,47096,"2,8","27,6"
2010,17138,15454,49094,46174,"2,9","26,1"
2011,16970,15035,50317,46487,3,"28,7"
2012,17174,15403,48541,45133,"2,8","28,8"
2013,16141,14690,47770,44839,3,"29,7"
2014,16487,15260,47461,45169,"2,9","30,9"
2015,15455,13985,43199,40249,"2,8","25,2"
2016,15143,13799,39946,37295,"2,6","25,7"
2017,15920,14393,42454,39416,"2,7","26,9"
2018,16804,15361,43761,41253,"2,6","27,8"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"15,6","15,3","4,9","5,1","-9,2","-0,8"
2010,"-4,8","-0,5","-3,5",-2,"1,4","-5,3"
2011,-1,"-2,7","2,5","0,7","3,5","10,1"
2012,"1,2","2,4","-3,5","-2,9","-4,7","0,3"
2013,-6,"-4,6","-1,6","-0,7","4,7","3,3"
2014,"2,1","3,9","-0,6","0,7","-2,7","3,8"
2015,"-6,3","-8,4",-9,"-10,9","-2,9","-18,5"
2016,-2,"-1,3","-7,5","-7,3","-5,6","2,3"
2017,"5,1","4,3","6,3","5,7","1,1","4,6"
2018,"5,6","6,7","3,1","4,7","-2,3","3,1"
 ,,,,,,
2009 = 100 ,,,,,,
2009,100,100,100,100,100,100
2010,"95,2","99,5","96,5",98,"101,4","94,7"
2011,"94,3","96,8","98,9","98,7","104,9","104,2"
2012,"95,4","99,1","95,4","95,8",100,"104,5"
2013,"89,6","94,6","93,9","95,2","104,7","107,9"
2014,"91,6","98,2","93,3","95,9","101,9",112
2015,"85,8",90,"84,9","85,5","98,9","91,3"
2016,"84,1","88,8","78,5","79,2","93,4","93,4"
2017,"88,4","92,6","83,5","83,7","94,4","97,7"
2018,"93,3","98,9",86,"87,6","92,2","100,7"
157     Peine                    ,,,,,,
 ,,,,,,
2009,4460,3962,8110,7245,"1,8","25,2"
2010,4715,4230,10021,8823,"2,1","31,9"
2011,4303,3660,9077,7358,"2,1","29,5"
2012,5255,4582,9497,8308,"1,8","33,4"
2013,5143,4537,8433,7572,"1,6","29,8"
2014,5225,4611,8432,7347,"1,6","31,2"
2015,4923,4008,8428,6660,"1,7","32,2"
2016,4525,3868,8050,6845,"1,8","29,7"
2017,4465,3966,8106,7174,"1,8","28,3"
2018,5266,4579,9281,8129,"1,8","33,3"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"17,3",19,"4,6","3,7","-10,9","-24,7"
2010,"5,7","6,8","23,6","21,8","16,9","26,3"
2011,"-8,7","-13,5","-9,4","-16,6","-0,7","-7,3"
2012,"22,1","25,2","4,6","12,9","-14,3",13
2013,"-2,1",-1,"-11,2","-8,9","-9,3","-10,7"
2014,"1,6","1,6",-,-3,"-1,6","4,4"
2015,"-5,8","-13,1",-,"-9,4","6,1","3,4"
2016,"-8,1","-3,5","-4,5","2,8","3,9","-7,7"
2017,"-1,3","2,5","0,7","4,8",2,-5
2018,"17,9","15,5","14,5","13,3","-2,9","17,8"
 ,,,,,,
2009 = 100 ,,,,,,
2009,100,100,100,100,100,100
2010,"105,7","106,8","123,6","121,8","116,9","126,3"
2011,"96,5","92,4","111,9","101,6",116,"117,1"
2012,"117,8","115,6","117,1","114,7","99,4","132,3"
2013,"115,3","114,5",104,"104,5","90,2","118,2"
2014,"117,2","116,4",104,"101,4","88,7","123,5"
2015,"110,4","101,2","103,9","91,9","94,1","127,6"
2016,"101,5","97,6","99,3","94,5","97,8","117,9"
2017,"100,1","100,1",100,99,"99,8","111,9"
2018,"118,1","115,6","114,4","112,2","96,9","131,9"
158     Wolfenbüttel             ,,,,,,
 ,,,,,,
2009,4266,3898,8885,8073,"2,1","34,3"
2010,4697,4340,10631,9683,"2,3","26,6"
2011,4877,4525,11643,10141,"2,4","27,9"
2012,5235,4827,11985,10328,"2,3","28,7"
2013,5562,5160,12952,11494,"2,3","32,2"
2014,6046,5488,13495,11255,"2,2",33
2015,5902,5367,13992,12168,"2,4","32,8"
2016,4910,4399,11603,9499,"2,4",33
2017,4799,4377,11048,8858,"2,3",31
2018,5392,5030,11662,9947,"2,2","36,4"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"12,3","15,3","7,7","8,4","-4,1","2,2"
2010,"10,1","11,3","19,7","19,9","8,7","-22,6"
2011,"3,8","4,3","9,5","4,7","5,5",5
2012,"7,3","6,7","2,9","1,8","-4,1","2,9"
2013,"6,2","6,9","8,1","11,3","1,7","12,3"
2014,"8,7","6,4","4,2","-2,1","-4,1","2,4"
2015,"-2,4","-2,2","3,7","8,1","6,2","-0,7"
2016,"-16,8",-18,"-17,1","-21,9","-0,3","0,7"
2017,"-2,3","-0,5","-4,8","-6,7","-2,6","-6,1"
2018,"12,4","14,9","5,6","12,3","-6,1","17,4"
 ,,,,,,
2009 = 100 ,,,,,,
2009,100,100,100,100,100,100
2010,"110,1","111,3","119,7","119,9","108,7","77,4"
2011,"114,3","116,1",131,"125,6","114,6","81,3"
2012,"122,7","123,8","134,9","127,9","109,9","83,6"
2013,"130,4","132,4","145,8","142,4","111,8","93,9"
2014,"141,7","140,8","151,9","139,4","107,2","96,1"
2015,"138,3","137,7","157,5","150,7","113,8","95,4"
2016,"115,1","112,9","130,6","117,7","113,5","96,1"
2017,"112,5","112,3","124,3","109,7","110,5","90,2"
2018,"126,4",129,"131,3","123,2","103,8",106
159     Göttingen                ,,,,,,
 ,,,,,,
2009,59735,52271,142758,125978,"2,4","27,1"
2010,57665,50089,134877,118805,"2,3","27,5"
2011,62881,54375,150818,132583,"2,4","30,1"
2012,62183,53492,143573,122716,"2,3","28,2"
2013,61135,52022,142800,118765,"2,3","29,1"
2014,63721,54123,154289,129171,"2,4","31,2"
2015,65527,55604,155925,132053,"2,4","31,8"
2016,64850,55899,161513,138750,"2,5","32,3"
2017,76813,66095,183271,155448,"2,4","35,6"
2018,72487,61748,169471,141020,"2,3","32,5"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"11,2","14,2","13,7","13,7","2,2","9,7"
2010,"-3,5","-4,2","-5,5","-5,7","-2,1","1,6"
2011,9,"8,6","11,8","11,6","2,5","9,5"
2012,"-1,1","-1,6","-4,8","-7,4","-3,7","-6,3"
2013,"-1,7","-2,7","-0,5","-3,2","1,2","3,4"
2014,"4,2",4,8,"8,8","3,7","7,1"
2015,"2,8","2,7","1,1","2,2","-1,7",2
2016,-1,"0,5","3,6","5,1","4,7","1,5"
2017,"18,4","18,2","13,5",12,"-4,2","10,1"
2018,"-5,6","-6,6","-7,5","-9,3",-2,"-8,7"
 ,,,,,,
2009 = 100 ,,,,,,
2009,100,100,100,100,100,100
2010,"96,5","95,8","94,5","94,3","97,9","101,6"
2011,"105,3",104,"105,6","105,2","100,4","111,2"
2012,"104,1","102,3","100,6","97,4","96,6","104,2"
2013,"102,3","99,5",100,"94,3","97,7","107,7"
2014,"106,7","103,5","108,1","102,5","101,3","115,4"
2015,"109,7","106,4","109,2","104,8","99,6","117,7"
2016,"108,6","106,9","113,1","110,1","104,2","119,5"
2017,"128,6","126,4","128,4","123,4","99,8","131,5"
2018,"121,3","118,1","118,7","111,9","97,8",120
2       Hannover                 ,,,,,,
 ,,,,,,
2009,237024,206100,534578,476925,"2,3","29,3"
2010,268112,231666,584867,522165,"2,2","31,4"
2011,281503,239342,633376,551026,"2,2","32,9"
2012,284874,247311,628358,558059,"2,2","32,4"
2013,289069,249915,622236,548431,"2,2","31,9"
2014,289174,245491,635919,555069,"2,2","32,9"
2015,322410,269390,702532,591477,"2,2","35,7"
2016,313862,268215,691736,598265,"2,2",36
2017,336410,291084,701933,616787,"2,1",36
2018,333118,283268,713775,613946,"2,1","36,2"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"4,1","4,9","2,5","2,9","-1,6","-1,3"
2010,"13,1","12,4","9,4","9,5","-3,3","7,1"
2011,5,"3,3","8,3","5,5","3,1",5
2012,"1,2","3,3","-0,8","1,3",-2,"-1,5"
2013,"1,5","1,1",-1,"-1,7","-2,4","-1,5"
2014,-,"-1,8","2,2","1,2","2,2",3
2015,"11,5","9,7","10,5","6,6","-0,9","8,5"
2016,"-2,7","-0,4","-1,5","1,1","1,1","0,8"
2017,"7,2","8,5","1,5","3,1","-5,3","0,2"
2018,-1,"-2,7","1,7","-0,5","2,7","0,4"
 ,,,,,,
2009 = 100 ,,,,,,
2009,100,100,100,100,100,100
2010,"113,1","112,4","109,4","109,5","96,7","107,1"
2011,"118,8","116,1","118,5","115,5","99,8","112,4"
2012,"120,2",120,"117,5",117,"97,8","110,7"
2013,122,"121,3","116,4",115,"95,4",109
2014,122,"119,1",119,"116,4","97,5","112,3"
2015,136,"130,7","131,4",124,"96,6","121,8"
2016,"132,4","130,1","129,4","125,4","97,7","122,8"
2017,"141,9","141,2","131,3","129,3","92,5",123
2018,"140,5","137,4","133,5","128,7",95,"123,5"
"241     Hannover,Region          ",,,,,,
 ,,,,,,
2009,145968,123370,261594,220890,"1,8","28,5"
2010,168856,141459,302014,255155,"1,8","32,4"
2011,174874,143593,325837,267295,"1,9","34,2"
2012,181337,153620,325621,276383,"1,8",35
2013,186348,159334,326189,277499,"1,8",36
2014,181641,150773,322452,269760,"1,8","35,5"
2015,205805,166639,383053,302440,"1,9","41,5"
2016,200931,167453,377049,313457,"1,9","42,5"
2017,214562,182784,370490,315040,"1,7","39,6"
2018,211699,175770,386184,317496,"1,8",41
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"1,6","2,1","0,5","1,5","-1,1","-2,6"
2010,"15,7","14,7","15,5","15,5","-0,2","13,6"
2011,"3,6","1,5","7,9","4,8","4,2","5,8"
2012,"3,7",7,"-0,1","3,4","-3,6","2,3"
2013,"2,8","3,7","0,2","0,4","-2,5","2,9"
2014,"-2,5","-5,4","-1,1","-2,8","1,4","-1,3"
2015,"13,3","10,5","18,8","12,1","4,8","16,7"
2016,"-2,4","0,5","-1,6","3,6","0,8","2,4"
2017,"6,8","9,2","-1,7","0,5",-8,"-6,6"
2018,"-1,3","-3,8","4,2","0,8","5,6","3,4"
 ,,,,,,
2009 = 100 ,,,,,,
2009,100,100,100,100,100,100
2010,"115,7","114,7","115,5","115,5","99,8","113,6"
2011,"119,8","116,4","124,6",121,104,"120,1"
2012,"124,2","124,5","124,5","125,1","100,2","122,8"
2013,"127,7","129,2","124,7","125,6","97,7","126,3"
2014,"124,4","122,2","123,3","122,1","99,1","124,7"
2015,141,"135,1","146,4","136,9","103,9","145,6"
2016,"137,7","135,7","144,1","141,9","104,7",149
2017,147,"148,2","141,6","142,6","96,4","139,1"
2018,145,"142,5","147,6","143,7","101,8","143,9"
"241001  Hannover,Landeshauptstadt",,,,,,
 ,,,,,,
2009,86989,73967,146101,120511,"1,7","35,3"
2010,97645,80897,164670,135604,"1,7","41,4"
2011,101350,81337,174762,135473,"1,7","42,2"
2012,109490,91686,178144,146315,"1,6",44
2013,114696,97172,184278,152416,"1,6","46,2"
2014,107948,89464,172890,140316,"1,6","43,4"
2015,122936,97402,212505,160587,"1,7","52,7"
2016,121111,99798,207442,167152,"1,7","52,6"
2017,131100,111110,207768,173411,"1,6","49,7"
2018,120970,98912,202563,159647,"1,7","47,9"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"1,5","3,2","-0,1","2,9","-1,5","-3,5"
2010,"12,2","9,4","12,7","12,5","0,4","17,3"
2011,"3,8","0,5","6,1","-0,1","2,2",2
2012,8,"12,7","1,9",8,"-5,6","4,2"
2013,"4,8",6,"3,4","4,2","-1,3",5
2014,"-5,9","-7,9","-6,2","-7,9","-0,3",-6
2015,"13,9","8,9","22,9","14,4","7,9","21,5"
2016,"-1,5","2,5","-2,4","4,1","-0,9","-0,2"
2017,"8,2","11,3","0,2","3,7","-7,5","-5,6"
