© Landesamt fü,,,,,,
"r Statistik Niedersachsen, 2019.",,,,,,
"Vervielfältigung und Verbreitung, auch auszugsweise, mit Quellenangabe gestattet.",,,,,,
,,,,,,
LSN-Online: Tabelle Z7360122,,,,,,
,,,,,,
Monatserhebung im Tourismus in Niedersachsen (Gebietsstand: 01.07.2017),,,,,,
- Geöffnete Beherbergungsbetriebe mit mindestens 10 Betten und geöffnete Campinglätze mit mindestens 10 Stellplätzen -,,,,,,
 ,,,,,,
Zeitraum: Juli*,,,,,,
,,,,,,
"Niedersachsen
Statistische Region*
Kreis*
Gemeinde*
------
Jahr",Ankünfte,,Übernachtungen,,durchschnittl.,
2010,"113,4","116,2","136,1","155,5",120,"101,8"
2011,"136,8","140,3","159,4","186,2","116,5","113,2"
2012,157,"159,9","192,4","220,1","122,6","145,1"
2013,"131,3","130,8","183,3","206,7","139,6","134,9"
2014,152,"150,4","167,5","179,8","110,2","117,7"
2015,"154,2","149,2","165,1","167,1","107,1","99,9"
2016,"166,9","167,7","174,6","197,4","104,6","111,5"
2017,"168,5","161,3","170,9","176,8","101,5",107
2018,"147,5",141,"169,4","168,4","114,8","105,1"
"103     Wolfsburg,Stadt          ",,,,,,
 ,,,,,,
2009,18221,15656,45674,38906,"2,5","42,4"
2010,17496,14704,42475,35077,"2,4","39,8"
2011,24091,20252,51821,42934,"2,2","47,3"
2012,23190,19782,50769,41734,"2,2","44,8"
2013,18838,15998,47191,36373,"2,5","40,1"
2014,27400,22593,46991,37930,"1,7",40
2015,32289,25465,56956,45021,"1,8","42,1"
2016,25651,20566,48528,39933,"1,9","35,9"
2017,24317,19651,44091,35844,"1,8","32,5"
2018,29677,24024,56684,45522,"1,9","37,8"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"-4,5","-0,2","9,1","19,1","14,3","5,6"
2010,-4,"-6,1",-7,"-9,8","-3,2","-6,2"
2011,"37,7","37,7",22,"22,4","-11,4",19
2012,"-3,7","-2,3",-2,"-2,8","1,8","-5,4"
2013,"-18,8","-19,1",-7,"-12,8","14,4","-10,5"
2014,"45,5","41,2","-0,4","4,3","-31,5","-0,1"
2015,"17,8","12,7","21,2","18,7","2,9","5,1"
2016,"-20,6","-19,2","-14,8","-11,3","7,3","-14,7"
2017,"-5,2","-4,4","-9,1","-10,2","-4,2","-9,4"
2018,22,"22,3","28,6",27,"5,3","16,2"
 ,,,,,,
2009 = 100 ,,,,,,
2009,100,100,100,100,100,100
2010,96,"93,9",93,"90,2","96,8","93,8"
2011,"132,2","129,4","113,5","110,4","85,8","111,6"
2012,"127,3","126,4","111,2","107,3","87,3","105,6"
2013,"103,4","102,2","103,3","93,5","99,9","94,5"
2014,"150,4","144,3","102,9","97,5","68,4","94,3"
2015,"177,2","162,7","124,7","115,7","70,4","99,2"
2016,"140,8","131,4","106,2","102,6","75,5","84,6"
2017,"133,5","125,5","96,5","92,1","72,3","76,7"
2018,"162,9","153,4","124,1",117,"76,2","89,1"
151     Gifhorn                  ,,,,,,
 ,,,,,,
2009,10565,9669,35333,30703,"3,3",25
2010,11430,10666,36047,32654,"3,2",27
2011,12270,11176,37182,33627,3,"27,9"
2012,13753,12220,40625,35287,3,"32,7"
2013,14324,12719,42782,36770,3,"37,4"
2014,14404,12997,41498,36064,"2,9","34,7"
2015,14537,13142,41026,36032,"2,8","31,5"
2016,11092,10092,35156,30599,"3,2","27,8"
2017,11015,10161,29451,27156,"2,7","23,9"
2018,11021,9945,31270,27439,"2,8","25,8"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"1,7","1,3","11,3","8,9","9,5",2
2010,"8,2","10,3",2,"6,4","-5,7","7,7"
2011,"7,3","4,8","3,1",3,"-3,9","3,3"
2012,"12,1","9,3","9,3","4,9","-2,5","17,3"
2013,"4,2","4,1","5,3","4,2","1,1","14,3"
2014,"0,6","2,2",-3,"-1,9","-3,5","-7,1"
2015,"0,9","1,1","-1,1","-0,1",-2,"-9,2"
2016,"-23,7","-23,2","-14,3","-15,1","12,3","-11,7"
2017,"-0,7","0,7","-16,2","-11,3","-15,6",-14
2018,"0,1","-2,1","6,2",1,"6,1","7,9"
 ,,,,,,
2009 = 100 ,,,,,,
2009,100,100,100,100,100,100
2010,"108,2","110,3",102,"106,4","94,3","107,7"
2011,"116,1","115,6","105,2","109,5","90,6","111,3"
2012,"130,2","126,4",115,"114,9","88,3","130,5"
2013,"135,6","131,5","121,1","119,8","89,3","149,2"
2014,"136,3","134,4","117,4","117,5","86,1","138,5"
2015,"137,6","135,9","116,1","117,4","84,4","125,8"
2016,105,"104,4","99,5","99,7","94,8","111,1"
2017,"104,3","105,1","83,4","88,4","79,9","95,6"
2018,"104,3","102,9","88,5","89,4","84,8","103,1"
153     Goslar                   ,,,,,,
 ,,,,,,
2009,60642,45535,233837,187040,"3,9","31,7"
2010,62402,46086,235515,185365,"3,8","31,7"
2011,66803,49652,242127,187873,"3,6","32,6"
2012,69379,50566,262740,195519,"3,8","36,4"
2013,65787,48061,247041,190629,"3,8","34,3"
2014,71798,54274,243065,188516,"3,4","33,4"
2015,72545,53314,255231,192208,"3,5","34,7"
2016,75595,54412,262226,195735,"3,5","37,5"
2017,69998,52065,241336,189955,"3,4","36,1"
2018,75498,57458,259623,207478,"3,4","37,6"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"4,7","6,4","4,3","5,6","-0,4","4,1"
2010,"2,9","1,2","0,7","-0,9","-2,1","0,1"
2011,"7,1","7,7","2,8","1,4",-4,"2,9"
2012,"3,9","1,8","8,5","4,1","4,5","11,7"
2013,"-5,2",-5,-6,"-2,5","-0,8","-5,7"
2014,"9,1","12,9","-1,6","-1,1","-9,8","-2,7"
2015,1,"-1,8",5,2,"3,9","3,8"
2016,"4,2","2,1","2,7","1,8","-1,4","8,3"
2017,"-7,4","-4,3",-8,-3,"-0,6","-3,8"
2018,"7,9","10,4","7,6","9,2","-0,3",4
 ,,,,,,
2009 = 100 ,,,,,,
2009,100,100,100,100,100,100
2010,"102,9","101,2","100,7","99,1","97,9","100,1"
2011,"110,2",109,"103,5","100,4",94,103
2012,"114,4",111,"112,4","104,5","98,2",115
2013,"108,5","105,5","105,6","101,9","97,4","108,4"
2014,"118,4","119,2","103,9","100,8","87,8","105,5"
2015,"119,6","117,1","109,1","102,8","91,2","109,5"
2016,"124,7","119,5","112,1","104,6",90,"118,5"
2017,"115,4","114,3","103,2","101,6","89,4","114,1"
2018,"124,5","126,2",111,"110,9","89,2","118,7"
154     Helmstedt                ,,,,,,
 ,,,,,,
2009,7129,5230,14889,12250,"2,1","21,7"
2010,6954,5053,13868,10837,2,"21,4"
2011,8568,6342,16137,12581,"1,9","24,6"
2012,8718,6552,13661,10489,"1,6","22,4"
2013,9750,7545,16472,12805,"1,7","28,6"
2014,9355,7031,15139,11880,"1,6","25,6"
2015,8329,5981,14256,10096,"1,7","23,6"
2016,7703,4830,12609,8689,"1,6","21,2"
2017,6925,4803,13450,9546,"1,9",23
2018,6792,4756,12749,9426,"1,9",18
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"-19,1","-21,6","-6,8","-5,5","15,1","-15,7"
2010,"-2,5","-3,4","-6,9","-11,5","-4,5","-1,5"
2011,"23,2","25,5","16,4","16,1","-5,6","15,4"
2012,"1,8","3,3","-15,3","-16,6","-16,8","-9,1"
2013,"11,8","15,2","20,6","22,1","7,8","27,5"
2014,"-4,1","-6,8","-8,1","-7,2","-4,2","-10,6"
2015,-11,"-14,9","-5,8",-15,"5,8","-7,7"
2016,"-7,5","-19,2","-11,6","-13,9","-4,4","-10,4"
2017,"-10,1","-0,6","6,7","9,9","18,7","8,9"
2018,"-1,9",-1,"-5,2","-1,3","-3,4","-21,9"
 ,,,,,,
2009 = 100 ,,,,,,
2009,100,100,100,100,100,100
2010,"97,5","96,6","93,1","88,5","95,5","98,5"
2011,"120,2","121,3","108,4","102,7","90,2","113,6"
2012,"122,3","125,3","91,8","85,6",75,"103,3"
2013,"136,8","144,3","110,6","104,5","80,9","131,8"
2014,"131,2","134,4","101,7",97,"77,5","117,9"
2015,"116,8","114,4","95,7","82,4",82,"108,8"
2016,"108,1","92,4","84,7","70,9","78,4","97,5"
2017,"97,1","91,8","90,3","77,9",93,"106,2"
2018,"95,3","90,9","85,6","76,9","89,9","82,9"
155     Northeim                 ,,,,,,
 ,,,,,,
2009,19305,14396,58092,50920,3,"30,6"
2010,17309,13431,53716,47535,"3,1","28,2"
2011,16788,13009,52201,45116,"3,1","29,4"
2012,17245,13403,55258,48365,"3,2","31,7"
2013,15870,12621,50591,45174,"3,2","29,4"
2014,17203,14587,50862,45583,3,"30,8"
2015,17141,15012,49545,45217,"2,9","27,9"
2016,15852,13491,49180,44848,"3,1","30,4"
2017,16897,14111,51202,45682,3,"30,8"
2018,16405,13934,48793,43976,3,"29,3"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"4,7","0,9","2,3","1,6","-2,3","-0,6"
2010,"-10,3","-6,7","-7,5","-6,6","3,1","-7,8"
2011,-3,"-3,1","-2,8","-5,1","0,2","4,2"
2012,"2,7",3,"5,9","7,2","3,1","8,1"
2013,-8,"-5,8","-8,4","-6,6","-0,5","-7,5"
2014,"8,4","15,6","0,5","0,9","-7,3","4,9"
2015,"-0,4","2,9","-2,6","-0,8","-2,2","-9,4"
2016,"-7,5","-10,1","-0,7","-0,8","7,3","8,9"
2017,"6,6","4,6","4,1","1,9","-2,3","1,3"
2018,"-2,9","-1,3","-4,7","-3,7","-1,8","-4,8"
 ,,,,,,
2009 = 100 ,,,,,,
2009,100,100,100,100,100,100
2010,"89,7","93,3","92,5","93,4","103,1","92,2"
2011,87,"90,4","89,9","88,6","103,3",96
2012,"89,3","93,1","95,1",95,"106,5","103,8"
2013,"82,2","87,7","87,1","88,7","105,9","96,1"
2014,"89,1","101,3","87,6","89,5","98,3","100,8"
2015,"88,8","104,3","85,3","88,8","96,1","91,3"
2016,"82,1","93,7","84,7","88,1","103,1","99,5"
2017,"87,5",98,"88,1","89,7","100,7","100,7"
2018,85,"96,8",84,"86,4","98,8","95,9"
157     Peine                    ,,,,,,
 ,,,,,,
2009,3915,3360,8513,7500,"2,2","27,1"
2010,4328,3684,9534,8034,"2,2","30,3"
2011,3783,3095,8172,6512,"2,2","25,7"
2012,4969,4384,9981,8845,2,"33,6"
2013,4407,3895,8456,7475,"1,9","29,5"
2014,4809,4087,9199,7433,"1,9","33,4"
2015,4371,3679,7940,6676,"1,8","29,5"
2016,3711,3192,7427,6262,2,"27,5"
2017,4425,3905,8079,7125,"1,8","27,2"
2018,4693,4077,8946,7867,"1,9","31,1"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"6,6","15,1","17,1","18,5","9,9","-16,1"
2010,"10,5","9,6",12,"7,1","1,3","11,7"
2011,"-12,6",-16,"-14,3","-18,9","-1,9","-14,9"
2012,"31,4","41,6","22,1","35,8",-7,"30,6"
2013,"-11,3","-11,2","-15,3","-15,5","-4,5","-12,2"
2014,"9,1","4,9","8,8","-0,6","-0,3","13,2"
2015,"-9,1",-10,"-13,7","-10,2",-5,"-11,6"
2016,"-15,1","-13,2","-6,5","-6,2","10,2","-6,8"
2017,"19,2","22,3","8,8","13,8","-8,8","-1,2"
2018,"6,1","4,4","10,7","10,4","4,4","14,6"
 ,,,,,,
2009 = 100 ,,,,,,
2009,100,100,100,100,100,100
2010,"110,5","109,6",112,"107,1","101,3","111,7"
2011,"96,6","92,1",96,"86,8","99,3",95
2012,"126,9","130,5","117,2","117,9","92,4","124,1"
2013,"112,6","115,9","99,3","99,7","88,2","108,9"
2014,"122,8","121,6","108,1","99,1",88,"123,3"
2015,"111,6","109,5","93,3",89,"83,5","108,9"
2016,"94,8",95,"87,2","83,5",92,"101,5"
2017,113,"116,2","94,9",95,84,"100,3"
2018,"119,9","121,3","105,1","104,9","87,7",115
158     Wolfenbüttel             ,,,,,,
 ,,,,,,
2009,3136,2857,7790,7053,"2,5","28,7"
2010,4099,3774,10698,10087,"2,6","26,9"
2011,4371,3962,11607,9772,"2,7","28,1"
2012,5006,4542,12136,10070,"2,4","28,3"
2013,3593,3275,10341,9116,"2,9","26,6"
2014,4910,4437,12099,9957,"2,5","29,6"
2015,4956,4540,11518,9798,"2,3","27,7"
2016,3894,3456,10407,8617,"2,7","30,5"
2017,3501,3173,9940,8044,"2,8","27,4"
2018,3427,3141,10151,8385,3,"30,3"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,-17,"-10,8","1,3","15,2","22,1","-7,7"
2010,"30,7","32,1","37,3",43,"5,1","-6,4"
2011,"6,6",5,"8,5","-3,1","1,7","4,3"
2012,"14,5","14,6","4,6",3,"-8,7","0,8"
2013,"-28,2","-27,9","-14,8","-9,5","18,7","-6,1"
2014,"36,7","35,5",17,"9,2","-14,4","11,6"
2015,"0,9","2,3","-4,8","-1,6","-5,7","-6,4"
2016,"-21,4","-23,9","-9,6","-12,1",15,10
2017,"-10,1","-8,2","-4,5","-6,6","6,2","-10,2"
2018,"-2,1",-1,"2,1","4,2","4,3","10,4"
 ,,,,,,
2009 = 100 ,,,,,,
2009,100,100,100,100,100,100
2010,"130,7","132,1","137,3",143,"105,1","93,6"
2011,"139,4","138,7",149,"138,6","106,9","97,7"
2012,"159,6",159,"155,8","142,8","97,6","98,5"
2013,"114,6","114,6","132,7","129,2","115,9","92,5"
2014,"156,6","155,3","155,3","141,2","99,2","103,2"
2015,158,"158,9","147,9","138,9","93,6","96,6"
2016,"124,2",121,"133,6","122,2","107,6","106,2"
2017,"111,6","111,1","127,6","114,1","114,3","95,5"
2018,"109,3","109,9","130,3","118,9","119,2","105,4"
159     Göttingen                ,,,,,,
 ,,,,,,
2009,59750,44149,171381,136104,"2,9","31,7"
2010,61120,44768,167289,127352,"2,7",33
2011,66215,48691,173246,130132,"2,6","33,8"
2012,69944,51841,182944,134699,"2,6",35
2013,65934,46885,186115,129587,"2,8","36,5"
2014,68049,48691,184081,127525,"2,7","36,1"
2015,76341,54404,212186,151025,"2,8","42,3"
2016,74974,53453,206510,150031,"2,8","39,4"
2017,77081,55761,203299,149628,"2,6","38,8"
2018,74974,55062,211210,157771,"2,8",39
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"-2,7","-1,4",-3,"1,7","-0,4","-4,6"
2010,"2,3","1,4","-2,4","-6,4","-4,6","4,2"
2011,"8,3","8,8","3,6","2,2","-4,4","2,5"
2012,"5,6","6,5","5,6","3,5",-,"3,6"
2013,"-5,7","-9,6","1,7","-3,8","7,9","4,3"
2014,"3,2","3,9","-1,1","-1,6","-4,2","-1,3"
2015,"12,2","11,7","15,3","18,4","2,7","17,3"
2016,"-1,8","-1,7","-2,7","-0,7","-0,9","-6,8"
2017,"2,8","4,3","-1,6","-0,3","-4,2","-1,5"
2018,"-2,7","-1,3","3,9","5,4","6,8","0,3"
 ,,,,,,
2009 = 100 ,,,,,,
2009,100,100,100,100,100,100
2010,"102,3","101,4","97,6","93,6","95,4","104,2"
2011,"110,8","110,3","101,1","95,6","91,2","106,8"
2012,"117,1","117,4","106,7",99,"91,2","110,7"
2013,"110,3","106,2","108,6","95,2","98,4","115,4"
2014,"113,9","110,3","107,4","93,7","94,3","113,9"
2015,"127,8","123,2","123,8",111,"96,9","133,5"
2016,"125,5","121,1","120,5","110,2",96,"124,5"
2017,129,"126,3","118,6","109,9",92,"122,6"
2018,"125,5","124,7","123,2","115,9","98,2",123
2       Hannover                 ,,,,,,
 ,,,,,,
2009,216544,176797,535605,468061,"2,5","28,8"
2010,239918,193160,572004,492818,"2,4","29,6"
2011,259331,211652,604427,521642,"2,3","30,6"
2012,283252,234526,692540,608869,"2,4","34,9"
2013,269098,220742,647886,556136,"2,4","32,5"
2014,287010,234539,645921,550397,"2,3","32,5"
2015,306592,251754,682981,582185,"2,2",34
2016,292172,238147,670116,571396,"2,3",34
2017,313793,256607,695870,596055,"2,2","34,7"
2018,332500,274738,738203,632331,"2,2","35,9"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,-5,"-5,4","-4,5","-3,5","0,6","-6,1"
2010,"10,8","9,3","6,8","5,3","-3,6","2,7"
2011,"8,1","9,6","5,7","5,8","-2,2","3,4"
2012,"9,2","10,8","14,6","16,7","4,9","13,9"
2013,-5,"-5,9","-6,4","-8,7","-1,5","-6,8"
2014,"6,7","6,3","-0,3",-1,"-6,5","0,2"
2015,"6,8","7,3","5,7","5,8",-1,"4,4"
2016,"-4,7","-5,4","-1,9","-1,9",3,"0,2"
2017,"7,4","7,8","3,8","4,3","-3,3","1,9"
2018,6,"7,1","6,1","6,1","0,1","3,5"
 ,,,,,,
2009 = 100 ,,,,,,
2009,100,100,100,100,100,100
2010,"110,8","109,3","106,8","105,3","96,4","102,7"
2011,"119,8","119,7","112,8","111,4","94,2","106,2"
2012,"130,8","132,7","129,3","130,1","98,8","120,9"
2013,"124,3","124,9",121,"118,8","97,3","112,6"
2014,"132,5","132,7","120,6","117,6",91,"112,9"
2015,"141,6","142,4","127,5","124,4","90,1","117,9"
2016,"134,9","134,7","125,1","122,1","92,7",118
2017,"144,9","145,1","129,9","127,3","89,7","120,3"
2018,"153,5","155,4","137,8","135,1","89,8","124,4"
"241     Hannover,Region          ",,,,,,
 ,,,,,,
2009,129444,102704,252360,208209,"1,9","27,3"
2010,144236,111693,274241,221087,"1,9","28,5"
2011,160484,127457,306097,252849,"1,9","31,3"
2012,176599,142638,373701,317870,"2,1","39,3"
2013,159449,127831,299020,246401,"1,9","32,3"
2014,174378,138519,320076,258850,"1,8","34,1"
2015,191356,153192,344953,280601,"1,8","37,3"
2016,166254,128708,308638,245405,"1,9",34
2017,180394,139904,320736,255005,"1,8","34,9"
2018,188225,149754,340754,274664,"1,8","35,8"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"-7,3","-8,4","-8,4",-7,"-1,2","-10,3"
2010,"11,4","8,8","8,7","6,2","-2,5","4,5"
2011,"11,3","14,1","11,6","14,4","0,3","9,9"
2012,10,"11,9","22,1","25,7","10,9","25,5"
2013,"-9,7","-10,4",-20,"-22,5","-11,4","-17,8"
2014,"9,4","8,4",7,"5,1","-2,1","5,4"
2015,"9,7","10,6","7,8","8,4","-1,8","9,3"
2016,"-13,1",-16,"-10,5","-12,5",3,"-8,9"
2017,"8,5","8,7","3,9","3,9","-4,2","2,7"
2018,"4,3",7,"6,2","7,7","1,8","2,5"
 ,,,,,,
2009 = 100 ,,,,,,
2009,100,100,100,100,100,100
2010,"111,4","108,8","108,7","106,2","97,5","104,5"
2011,124,"124,1","121,3","121,4","97,8","114,8"
2012,"136,4","138,9","148,1","152,7","108,5",144
2013,"123,2","124,5","118,5","118,3","96,2","118,5"
2014,"134,7","134,9","126,8","124,3","94,2","124,9"
2015,"147,8","149,2","136,7","134,8","92,5","136,6"
2016,"128,4","125,3","122,3","117,9","95,2","124,4"
2017,"139,4","136,2","127,1","122,5","91,2","127,8"
2018,"145,4","145,8",135,"131,9","92,9",131
"241001  Hannover,Landeshauptstadt",,,,,,
 ,,,,,,
2009,72118,56584,129677,101501,"1,8","31,6"
2010,82619,62553,141499,108128,"1,7","34,4"
2011,93059,72069,164828,129872,"1,8","38,6"
2012,102135,80235,171880,135457,"1,7","41,1"
2013,93085,73412,154891,121748,"1,7","37,4"
2014,102648,79919,169987,130791,"1,7","41,3"
2015,117744,92251,192807,150257,"1,6","46,6"
2016,100514,74912,164140,122571,"1,6","39,7"
2017,107158,82297,169615,130417,"1,6","39,8"
2018,107236,83086,171728,130757,"1,6","39,1"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"-7,9","-9,4","-9,7","-7,3","-1,9","-11,4"
2010,"14,6","10,5","9,1","6,5","-4,8","8,7"
2011,"12,6","15,2","16,5","20,1","3,4","12,1"
2012,"9,8","11,3","4,3","4,3",-5,"6,5"
2013,"-8,9","-8,5","-9,9","-10,1","-1,1","-8,9"
2014,"10,3","8,9","9,7","7,4","-0,5","10,4"
2015,"14,7","15,4","13,4","14,9","-1,1","12,8"
