© Landesamt fü,,,,,,
"r Statistik Niedersachsen, 2018.",,,,,,
"Vervielfältigung und Verbreitung, auch auszugsweise, mit Quellenangabe gestattet.",,,,,,
,,,,,,
LSN-Online: Tabelle Z7360122,,,,,,
,,,,,,
Monatserhebung im Tourismus in Niedersachsen (Gebietsstand: 01.07.2017),,,,,,
- Geöffnete Beherbergungsbetriebe mit mindestens 10 Betten und geöffnete Campinglätze mit mindestens 10 Stellplätzen -,,,,,,
 ,,,,,,
Zeitraum: September*,,,,,,
,,,,,,
"Niedersachsen
Statistische Region*
Kreis*
Gemeinde*
------
Jahr",Ankünfte,,Übernachtungen,,durchschnittl.,
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"96,6","94,5","101,4","102,1","104,9","97,6"
2011,"115,1","111,8","111,9","109,4","97,2","103,0"
2012,"104,0","99,5","124,5","122,9","119,7","117,0"
2013,"113,2","107,1","132,8","120,6","117,3","125,9"
2014,"116,9","110,6","117,5","107,4","100,5","110,6"
2015,"128,5","119,4","147,5","122,1","114,8","114,0"
2016,"133,3","123,7","126,7","116,1","95,0","102,1"
2017,"134,3","124,8","122,8","113,8","91,5","101,0"
2018,-,-,-,-,-,-
"103     Wolfsburg,Stadt          ",,,,,,
 ,,,,,,
2009,19902,16667,40680,32171,"2,0","39,0"
2010,21721,18074,42408,33029,"2,0","41,0"
2011,23067,19208,45489,35565,"2,0","41,6"
2012,20177,17094,43113,34917,"2,1","39,1"
2013,21174,17558,43505,34070,"2,1","38,2"
2014,26400,21460,47428,38126,"1,8","41,0"
2015,30411,23478,50217,38576,"1,7","38,3"
2016,29993,22801,47363,35305,"1,6","36,0"
2017,30616,23791,49403,38114,"1,6","37,7"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"-5,1","-1,0","-3,8","1,3","1,3","-7,4"
2010,"9,1","8,4","4,2","2,7","-4,5","5,2"
2011,"6,2","6,3","7,3","7,7","1,0","1,5"
2012,"-12,5","-11,0","-5,2","-1,8","8,4","-6,1"
2013,"4,9","2,7","0,9","-2,4","-3,8","-2,2"
2014,"24,7","22,2","9,0","11,9","-12,6","7,2"
2015,"15,2","9,4","5,9","1,2","-8,1","-6,4"
2016,"-1,4","-2,9","-5,7","-8,5","-4,4","-6,2"
2017,"2,1","4,3","4,3","8,0","2,2","4,9"
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"109,1","108,4","104,2","102,7","95,5","105,2"
2011,"115,9","115,2","111,8","110,5","96,5","106,8"
2012,"101,4","102,6","106,0","108,5","104,5","100,3"
2013,"106,4","105,3","106,9","105,9","100,5","98,1"
2014,"132,6","128,8","116,6","118,5","87,9","105,2"
2015,"152,8","140,9","123,4","119,9","80,8","98,4"
2016,"150,7","136,8","116,4","109,7","77,3","92,3"
2017,"153,8","142,7","121,4","118,5","78,9","96,8"
2018,-,-,-,-,-,-
151     Gifhorn                  ,,,,,,
 ,,,,,,
2009,12200,11179,33889,29709,"2,8","24,4"
2010,12054,10937,34347,30757,"2,8","27,6"
2011,12899,11570,35924,31249,"2,8","28,7"
2012,14202,12677,36558,32339,"2,6","28,5"
2013,14738,13133,39477,32817,"2,7","35,0"
2014,14092,12858,40202,35016,"2,9","35,1"
2015,13917,12675,38859,33950,"2,8","30,6"
2016,13803,12568,36643,31607,"2,7","29,6"
2017,13827,12578,31802,28547,"2,3","26,9"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"6,8","9,4","2,7","4,9","-3,8","-7,4"
2010,"-1,2","-2,2","1,4","3,5","2,6","13,5"
2011,"7,0","5,8","4,6","1,6","-2,3","4,0"
2012,"10,1","9,6","1,8","3,5","-7,6","-0,9"
2013,"3,8","3,6","8,0","1,5","4,1","22,8"
2014,"-4,4","-2,1","1,8","6,7","6,5","0,4"
2015,"-1,2","-1,4","-3,3","-3,0","-2,1","-12,9"
2016,"-0,8","-0,8","-5,7","-6,9","-4,9","-3,2"
2017,"0,2","0,1","-13,2","-9,7","-13,4","-9,3"
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"98,8","97,8","101,4","103,5","102,6","113,5"
2011,"105,7","103,5","106,0","105,2","100,3","118,0"
2012,"116,4","113,4","107,9","108,9","92,7","116,9"
2013,"120,8","117,5","116,5","110,5","96,4","143,5"
2014,"115,5","115,0","118,6","117,9","102,7","144,1"
2015,"114,1","113,4","114,7","114,3","100,5","125,5"
2016,"113,1","112,4","108,1","106,4","95,6","121,5"
2017,"113,3","112,5","93,8","96,1","82,8","110,2"
2018,-,-,-,-,-,-
153     Goslar                   ,,,,,,
 ,,,,,,
2009,62561,55345,217234,195729,"3,5","29,7"
2010,69807,61798,228647,205922,"3,3","31,5"
2011,75257,66565,236246,211553,"3,1","33,3"
2012,76268,67299,247083,221066,"3,2","35,6"
2013,73965,63578,236149,206558,"3,2","34,3"
2014,70967,62240,227048,201441,"3,2","32,5"
2015,70810,63151,226376,204224,"3,2","32,1"
2016,79945,70974,241223,215310,"3,0","35,2"
2017,76024,66847,232100,206753,"3,1","35,2"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"-4,2","-3,6","-1,4","-2,0","3,0","-2,9"
2010,"11,6","11,7","5,3","5,2","-5,7","6,2"
2011,"7,8","7,7","3,3","2,7","-4,2","5,6"
2012,"1,3","1,1","4,6","4,5","3,2","6,8"
2013,"-3,0","-5,5","-4,4","-6,6","-1,4","-3,6"
2014,"-4,1","-2,1","-3,9","-2,5","0,2","-5,1"
2015,"-0,2","1,5","-0,3","1,4","-0,1","-1,2"
2016,"12,9","12,4","6,6","5,4","-5,6","9,6"
2017,"-4,9","-5,8","-3,8","-4,0","1,2",-
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"111,6","111,7","105,3","105,2","94,3","106,2"
2011,"120,3","120,3","108,8","108,1","90,4","112,1"
2012,"121,9","121,6","113,7","112,9","93,3","119,8"
2013,"118,2","114,9","108,7","105,5","91,9","115,4"
2014,"113,4","112,5","104,5","102,9","92,1","109,5"
2015,"113,2","114,1","104,2","104,3","92,1","108,2"
2016,"127,8","128,2","111,0","110,0","86,9","118,6"
2017,"121,5","120,8","106,8","105,6","87,9","118,6"
2018,-,-,-,-,-,-
154     Helmstedt                ,,,,,,
 ,,,,,,
2009,9100,7552,16435,13718,"1,8","24,8"
2010,9605,8186,16957,14691,"1,8","26,2"
2011,9776,8092,16392,13647,"1,7","25,4"
2012,10582,9286,17255,15203,"1,6","29,0"
2013,10483,8994,18593,15579,"1,8","31,1"
2014,10846,8984,16993,14078,"1,6","29,3"
2015,9687,8106,16317,13688,"1,7","27,1"
2016,11974,9238,17351,14058,"1,4","28,9"
2017,10453,8847,17414,14455,"1,7","28,9"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"-19,9","-25,8","-19,0","-26,0","1,2","-21,5"
2010,"5,5","8,4","3,2","7,1","-2,2","5,3"
2011,"1,8","-1,1","-3,3","-7,1","-5,0","-2,8"
2012,"8,2","14,8","5,3","11,4","-2,8","14,3"
2013,"-0,9","-3,1","7,8","2,5","8,8","7,1"
2014,"3,5","-0,1","-8,6","-9,6","-11,7","-5,7"
2015,"-10,7","-9,8","-4,0","-2,8","7,5","-7,7"
2016,"23,6","14,0","6,3","2,7","-14,0","6,8"
2017,"-12,7","-4,2","0,4","2,8","15,0","0,1"
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"105,5","108,4","103,2","107,1","97,8","105,3"
2011,"107,4","107,2","99,7","99,5","92,8","102,3"
2012,"116,3","123,0","105,0","110,8","90,3","116,9"
2013,"115,2","119,1","113,1","113,6","98,2","125,2"
2014,"119,2","119,0","103,4","102,6","86,8","118,1"
2015,"106,5","107,3","99,3","99,8","93,3","108,9"
2016,"131,6","122,3","105,6","102,5","80,2","116,4"
2017,"114,9","117,1","106,0","105,4","92,2","116,4"
2018,-,-,-,-,-,-
155     Northeim                 ,,,,,,
 ,,,,,,
2009,18272,16672,55610,52975,"3,0","31,3"
2010,18068,16535,54897,51911,"3,0","29,5"
2011,19514,17854,55345,52327,"2,8","31,8"
2012,17572,16087,50288,47617,"2,9","28,4"
2013,16932,15567,49859,47049,"2,9","31,2"
2014,17254,15812,49134,45742,"2,8","33,0"
2015,15951,14773,44174,41843,"2,8","28,3"
2016,16935,15737,43690,41512,"2,6","29,6"
2017,17092,15797,43332,40856,"2,5","27,7"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"3,5","2,1","5,8","5,0","2,2","2,8"
2010,"-1,1","-0,8","-1,3","-2,0","-0,2","-6,0"
2011,"8,0","8,0","0,8","0,8","-6,7","7,8"
2012,"-10,0","-9,9","-9,1","-9,0","0,9","-10,5"
2013,"-3,6","-3,2","-0,9","-1,2","2,9","9,9"
2014,"1,9","1,6","-1,5","-2,8","-3,3","5,7"
2015,"-7,6","-6,6","-10,1","-8,5","-2,8","-14,2"
2016,"6,2","6,5","-1,1","-0,8","-6,8","4,4"
2017,"0,9","0,4","-0,8","-1,6","-1,7","-6,2"
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"98,9","99,2","98,7","98,0","99,8","94,0"
2011,"106,8","107,1","99,5","98,8","93,2","101,3"
2012,"96,2","96,5","90,4","89,9","94,0","90,7"
2013,"92,7","93,4","89,7","88,8","96,8","99,7"
2014,"94,4","94,8","88,4","86,3","93,6","105,3"
2015,"87,3","88,6","79,4","79,0","91,0","90,4"
2016,"92,7","94,4","78,6","78,4","84,8","94,4"
2017,"93,5","94,8","77,9","77,1","83,3","88,5"
2018,-,-,-,-,-,-
157     Peine                    ,,,,,,
 ,,,,,,
2009,4215,3689,8985,7727,"2,1","28,8"
2010,5180,4424,10820,9508,"2,1","35,3"
2011,5309,4690,10898,9542,"2,1","36,2"
2012,6240,5196,10753,9031,"1,7","37,5"
2013,6022,5013,10395,8643,"1,7","37,1"
2014,5734,4588,9909,8001,"1,7","36,6"
2015,5077,4483,8578,7544,"1,7","32,9"
2016,5198,4244,9264,7504,"1,8","34,9"
2017,5599,4848,10017,8619,"1,8","36,5"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"-15,0","-9,2","-3,3","0,6","13,8","-30,6"
2010,"22,9","19,9","20,4","23,0","-2,0","22,6"
2011,"2,5","6,0","0,7","0,4","-1,7","2,6"
2012,"17,5","10,8","-1,3","-5,4","-16,1","3,4"
2013,"-3,5","-3,5","-3,3","-4,3","0,2","-0,8"
2014,"-4,8","-8,5","-4,7","-7,4","0,1","-1,3"
2015,"-11,5","-2,3","-13,4","-5,7","-2,2","-10,3"
2016,"2,4","-5,3","8,0","-0,5","5,5","6,0"
2017,"7,7","14,2","8,1","14,9","0,4","4,7"
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"122,9","119,9","120,4","123,0","98,0","122,6"
2011,"126,0","127,1","121,3","123,5","96,3","125,8"
2012,"148,0","140,9","119,7","116,9","80,8","130,1"
2013,"142,9","135,9","115,7","111,9","81,0","129,0"
2014,"136,0","124,4","110,3","103,5","81,1","127,2"
2015,"120,5","121,5","95,5","97,6","79,3","114,1"
2016,"123,3","115,0","103,1","97,1","83,6","121,0"
2017,"132,8","131,4","111,5","111,5","83,9","126,8"
2018,-,-,-,-,-,-
158     Wolfenbüttel             ,,,,,,
 ,,,,,,
2009,4635,4257,10282,9458,"2,2","30,5"
2010,5162,4751,11411,10628,"2,2","29,0"
2011,5572,5136,14003,12393,"2,5","33,3"
2012,5835,5406,14192,12462,"2,4","34,6"
2013,5688,5158,14755,12916,"2,6","36,5"
2014,5444,4809,13777,11418,"2,5","33,3"
2015,5334,4856,14270,12175,"2,7","34,4"
2016,4859,4404,11901,10062,"2,4","35,1"
2017,5077,4566,12659,10650,"2,5","36,0"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"3,7","7,2","23,5","27,4","19,1","-8,8"
2010,"11,4","11,6","11,0","12,4","-0,3","-4,9"
2011,"7,9","8,1","22,7","16,6","13,7","14,9"
2012,"4,7","5,3","1,3","0,6","-3,2","3,8"
2013,"-2,5","-4,6","4,0","3,6","6,7","5,7"
2014,"-4,3","-6,8","-6,6","-11,6","-2,4","-8,9"
2015,"-2,0","1,0","3,6","6,6","5,7","3,3"
2016,"-8,9","-9,3","-16,6","-17,4","-8,4","2,0"
2017,"4,5","3,7","6,4","5,8","1,8","2,6"
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"111,4","111,6","111,0","112,4","99,7","95,1"
2011,"120,2","120,6","136,2","131,0","113,3","109,3"
2012,"125,9","127,0","138,0","131,8","109,6","113,5"
2013,"122,7","121,2","143,5","136,6","116,9","119,9"
2014,"117,5","113,0","134,0","120,7","114,1","109,3"
2015,"115,1","114,1","138,8","128,7","120,6","112,8"
2016,"104,8","103,5","115,7","106,4","110,4","115,1"
2017,"109,5","107,3","123,1","112,6","112,4","118,1"
2018,-,-,-,-,-,-
159     Göttingen                ,,,,,,
 ,,,,,,
2009,59519,53318,150921,137766,"2,5","28,9"
2010,60914,53228,141356,127262,"2,3","29,2"
2011,65141,57640,149800,133245,"2,3","30,4"
2012,67540,59178,159936,142216,"2,4","31,2"
2013,66257,57660,161055,138894,"2,4","32,7"
2014,67177,57846,164491,141878,"2,4","34,5"
2015,67905,58727,168882,145413,"2,5","35,7"
2016,74086,64861,171351,149469,"2,3","33,9"
2017,76954,67630,174804,151729,"2,3","34,1"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"-1,0","1,1","1,3","2,5","2,3","-0,4"
2010,"2,3","-0,2","-6,3","-7,6","-8,5","1,1"
2011,"6,9","8,3","6,0","4,7","-0,9","4,1"
2012,"3,7","2,7","6,8","6,7","3,0","2,5"
2013,"-1,9","-2,6","0,7","-2,3","2,6","5,0"
2014,"1,4","0,3","2,1","2,1","0,7","5,5"
2015,"1,1","1,5","2,7","2,5","1,6","3,4"
2016,"9,1","10,4","1,5","2,8","-7,0","-5,0"
2017,"3,9","4,3","2,0","1,5","-1,8","0,6"
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"102,3","99,8","93,7","92,4","91,5","101,1"
2011,"109,4","108,1","99,3","96,7","90,7","105,3"
2012,"113,5","111,0","106,0","103,2","93,4","107,9"
2013,"111,3","108,1","106,7","100,8","95,9","113,3"
2014,"112,9","108,5","109,0","103,0","96,6","119,5"
2015,"114,1","110,1","111,9","105,6","98,1","123,5"
2016,"124,5","121,6","113,5","108,5","91,2","117,3"
2017,"129,3","126,8","115,8","110,1","89,6","117,9"
2018,-,-,-,-,-,-
2       Hannover                 ,,,,,,
 ,,,,,,
2009,255889,225313,559849,508089,"2,2","30,8"
2010,281830,233439,639185,547142,"2,3","34,2"
2011,295613,244919,697600,586910,"2,4","36,5"
2012,316484,264714,711549,608784,"2,2","37,3"
2013,306176,254222,700659,589347,"2,3","35,6"
2014,306305,253427,693056,589106,"2,3","36,0"
2015,300632,259856,649275,571723,"2,2","33,4"
2016,335038,279733,736139,624961,"2,2","38,2"
2017,339215,283141,741186,622872,"2,2","37,6"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"-4,4","0,3","-10,9","-5,8","-6,8","-13,3"
2010,"10,1","3,6","14,2","7,7","3,7","11,2"
2011,"4,9","4,9","9,1","7,3","4,1","6,5"
2012,"7,1","8,1","2,0","3,7","-4,7","2,3"
2013,"-3,3","-4,0","-1,5","-3,2","1,8","-4,5"
2014,-,"-0,3","-1,1",-,"-1,1","1,2"
2015,"-1,9","2,5","-6,3","-3,0","-4,5","-7,3"
2016,"11,4","7,6","13,4","9,3","1,7","14,2"
2017,"1,2","1,2","0,7","-0,3","-0,6","-1,5"
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"110,1","103,6","114,2","107,7","103,7","111,2"
2011,"115,5","108,7","124,6","115,5","107,9","118,5"
2012,"123,7","117,5","127,1","119,8","102,8","121,2"
2013,"119,7","112,8","125,2","116,0","104,6","115,8"
2014,"119,7","112,5","123,8","115,9","103,4","117,2"
2015,"117,5","115,3","116,0","112,5","98,7","108,7"
2016,"130,9","124,2","131,5","123,0","100,4","124,1"
2017,"132,6","125,7","132,4","122,6","99,9","122,2"
2018,-,-,-,-,-,-
"241     Hannover,Region          ",,,,,,
 ,,,,,,
2009,168538,144583,296319,257338,"1,8","31,7"
2010,186062,146188,355718,281575,"1,9","37,7"
2011,189886,149925,385225,300652,"2,0","40,4"
2012,206737,166413,391041,312884,"1,9","41,8"
2013,194171,155556,373896,293965,"1,9","40,4"
2014,196106,156400,378739,302349,"1,9","40,7"
2015,194464,164355,347517,293333,"1,8","38,4"
2016,213076,170611,401470,317963,"1,9","43,5"
2017,219338,177056,416799,328419,"1,9","43,8"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"-3,4","2,9","-13,9","-6,1","-10,9","-17,3"
2010,"10,4","1,1","20,0","9,4","8,7","19,0"
2011,"2,1","2,6","8,3","6,8","6,1","6,9"
2012,"8,9","11,0","1,5","4,1","-6,8","3,7"
2013,"-6,1","-6,5","-4,4","-6,0","1,8","-3,5"
2014,"1,0","0,5","1,3","2,9","0,3","0,7"
2015,"-0,8","5,1","-8,2","-3,0","-7,5","-5,5"
2016,"9,6","3,8","15,5","8,4","5,4","13,1"
2017,"2,9","3,8","3,8","3,3","0,9","0,8"
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"110,4","101,1","120,0","109,4","108,7","119,0"
2011,"112,7","103,7","130,0","116,8","115,4","127,2"
2012,"122,7","115,1","132,0","121,6","107,6","131,9"
2013,"115,2","107,6","126,2","114,2","109,5","127,3"
2014,"116,4","108,2","127,8","117,5","109,8","128,3"
2015,"115,4","113,7","117,3","114,0","101,6","121,2"
2016,"126,4","118,0","135,5","123,6","107,2","137,1"
2017,"130,1","122,5","140,7","127,6","108,1","138,2"
2018,-,-,-,-,-,-
"241001  Hannover,Landeshauptstadt",,,,,,
 ,,,,,,
2009,102539,87809,168460,142238,"1,6","42,5"
2010,107520,82350,196979,148455,"1,8","48,1"
2011,110229,85476,210974,156506,"1,9","50,6"
2012,123463,98812,216793,168103,"1,8","53,2"
2013,114726,91222,205781,155681,"1,8","51,3"
2014,116419,91751,206538,157759,"1,8","51,6"
2015,121406,100766,197049,159709,"1,6","48,5"
2016,128111,101664,221783,169943,"1,7","55,0"
2017,131036,105037,224753,171545,"1,7","53,3"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"-4,0","2,7","-14,7","-5,9","-11,2","-13,2"
2010,"4,9","-6,2","16,9","4,4","11,5","13,4"
